script_file,maps_using_script,script_count,function_count,action_count,message_refs,item_refs,pokemon_refs,flag_refs,var_refs,top_commands,total_commands
0093,,4,17,15,0; 1; 2; 3; 4; 5,,,332; 712,0x4001; 0x40F8; 0x8004; 0x8005,Movement(33); End(23); WaitMovement(18); Call(15); JumpIf(14); CompareVarValue(13); SetVar(13); PlayFanfare(11); CommonScript(10); Jump(9),332
0094,,24,109,32,0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 31; 32; 34; 35; 36; 37; 39; 40; 41; 42; 43; 44; 45; 46; 47; 48; 49; 51; 52; 53; 55; 56; 57; 58; 59; 60; 61; 62; 64,0x8004; 0x8004,,140; 2720; 2743; 368; 432; 433; 434; 435; 436; 440; 448; 567,0x4002; 0x4003; 0x4004; 0x4005; 0x4006; 0x4007; 0x400A; 0x4077; 0x40E7; 0x8004; 0x8005; 0x8006; 0x8007,JumpIf(134); CompareVarValue(133); End(90); Message(82); Jump(70); CloseMessage(55); ReleaseAll(48); FadeScreen(47); WaitFadeScreen(47); SetVar(37),1306
0095,DEPART 1 B1,4,16,3,0; 1; 2,,,150; 151; 152,,SetOWPosition(60); End(16); Movement(15); JumpIf(14); CheckFlag(10); VanishOverworld(9); Jump(7); PlayFanfare(5); LockAll(5); Message(5),182
0096,,7,41,13,0; 1,,,155; 439,0x4000; 0x4001; 0x4002; 0x4003; 0x4004; 0x4005; 0x4006; 0x4007; 0x4008; 0x4009; 0x40A0,Movement(125); SetVar(70); JumpIf(38); CompareVarValue(36); Jump(33); End(28); WaitMovement(10); ReleaseAll(10); VanishOverworld(6); WalkEast8(6),427
0097,,2,2,0,0; 2; 3,,,439; 440; 449,0x8004; 0x8005,Message(5); End(4); SetFlag(3); CompareVarValue(2); JumpIf(2); ClearFlag(2); SetVar(2); WaitButton(2); CloseMessage(2); ReleaseAll(2),31
0098,REGIDRACO DEN,1,6,0,0; 1; 2; 3; 4; 5,,SPECIES_TYROGUE,268; 269,0x4000,Message(9); JumpIf(5); CloseMessage(5); CompareVarValue(4); ReleaseAll(4); End(4); SetFlag(3); WaitButton(3); CheckFlag(2); GetPartyCount(2),64
0099,LOBART CAVERN,5,16,14,1; 2; 3; 4; 5; 6; 7,,,1111; 393; 569; 638,0x40E8; 0x4100,End(31); Movement(20); JumpIf(18); CompareVarValue(15); CloseMessage(14); ReleaseAll(12); WaitMovement(11); Message(10); WaitButton(9); WalkNorth8(8),280
0100,SANDSTONE COV,11,11,0,,,,164,,RemoveOW(31); End(22); CompareVarValue(19); JumpIf(19); ReleaseAll(11); PlayFanfare(9); LockAll(9); FacePlayer(9); PlayCry(9); WaitCry(9),185
0101,FLORAL FISURE,11,11,0,,,,164,,RemoveOW(31); End(22); CompareVarValue(19); JumpIf(19); ReleaseAll(11); PlayFanfare(9); LockAll(9); FacePlayer(9); PlayCry(9); WaitCry(9),185
0102,SHREDSNOW TMP; REGIGIGAS TMP,1,0,0,,,,,,End(1),1
0103,NAVEL WEST 05; SPARK ROAR C,4,11,2,0; 1; 2; 3; 4; 5; 6; 7,,,148; 261; 262; 265; 279,0x4003,End(16); JumpIf(12); Message(9); CloseMessage(9); CheckFlag(8); ReleaseAll(8); WaitButton(7); CompareVarValue(4); SetVar(4); WaitTime(3),102
0104,LUGIA DEN 01,7,14,21,0; 1; 2; 3; 4; 5; 6; 7; 8,,,164; 2458; 261; 265; 267; 279; 417; 418; 572; 577; 579; 581; 741; 744,0x4003; 0x400A; 0x400B; 0x4081; 0x40FA; 0x8004,Movement(149); WaitTime(40); Delay2(40); End(37); WaitMovement(33); JumpIf(23); SetOWPosition(20); PlayFanfare(18); SetFlag(17); CompareVarValue(15),628
0105,,2,10,6,,,,393; 638,,End(14); JumpIf(9); Movement(9); CompareVarValue(8); WalkNorth8(8); GetCommonMessageArchive(7); MessageFromArchive(7); CloseMessage(6); FadeScreen(6); WaitFadeScreen(6),146
0106,D41R0105,2,4,0,,,,164; 365; 775,,End(5); SetFlag(3); CompareVarValue(3); JumpIf(3); ReleaseAll(3); ClearFlag(2); PlayFanfare(1); LockAll(1); FacePlayer(1); PlayCry(1),32
0107,D41R0108,1,5,0,0; 1,,,607; 766; 767; 768,0x40FD; 0x4131; 0x8005,JumpIf(6); CompareVarValue(4); FadeScreen(4); WaitFadeScreen(4); Return(4); SetVar(3); ClearFlag(3); IncrementVar(3); CompareVars(3); Message(2),61
0108,NAVEL EAST 01,1,2,0,0; 2; 3,,,223,0x8004; 0x8005,Message(4); WaitButton(3); CloseMessage(3); ReleaseAll(3); End(3); JumpIf(2); SetVar(2); PlayFanfare(1); LockAll(1); FacePlayer(1),28
0109,RELIC RUIN F3; RELIC RUIN F2; RELIC RUIN F1,2,1,1,,,,,0x40CA,End(4); PlayFanfare(2); Movement(1); UnvanishOverworld(1); WaitMovement(1); ShakeCamera(1); SetVar(1); CompareVarValue(1); JumpIf(1); VanishOverworld(1),15
0110,,7,15,16,0; 1,,,522,0x4000; 0x4001; 0x40C5; 0x40CA,End(22); Movement(18); Jump(16); CompareVarValue(13); JumpIf(13); SetVar(13); SetInvisible(8); WaitMovement(7); FaceSouth(7); WalkNorth4(6),228
0111,REGIELECT DEN,6,42,27,0; 1; 3; 4; 5; 7; 8; 9; 10; 11; 12; 13; 14; 17; 18; 19; 22; 23; 24; 27; 28; 29; 30; 31; 32; 33,,,218; 226; 393; 521; 527,0x4002; 0x4020; 0x40C4; 0x40FC; 0x4119; 0x8004; 0x8005,Movement(55); End(49); JumpIf(40); Message(40); CompareVarValue(39); WaitMovement(27); Jump(24); CloseMessage(22); TextPlayerName(14); SetVar(14),564
0112,DRAGON DEN 02,6,30,22,0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 20; 21; 22; 24; 25; 26; 27; 28; 29; 30; 32,,SPECIES_DRATINI,218; 219; 220; 221; 234; 2456; 393; 422; 521; 638; 741,0x407B; 0x4081; 0x40C3; 0x40C4; 0x4108; 0x8004,Message(122); Movement(90); WaitMovement(61); CreateMultiTouchBox(60); JumpIf(51); CompareVarValue(43); End(41); CloseMessage(35); SetVar(30); OpenTouchScreen(23),933
0113,,1,0,0,,,,,,VanishOverworld(1); End(1),2
0114,,4,8,16,0; 1; 2; 3; 4; 5; 6; 19; 20; 21,,,376; 771; 784,0x4003; 0x40FE,End(26); Movement(20); CloseMessage(19); WaitMovement(18); Message(10); GenderMessage(9); FadeScreen(9); WaitFadeScreen(9); PlayFanfare(8); CompareVarValue(7),243
0115,,2,6,0,0; 1; 2; 3; 4,,,2404; 611,0x4002,JumpIf(8); CompareVarValue(7); End(6); Message(5); PlayFanfare(2); OpenTouchScreen(2); YesNoTouchScreen(2); CloseTouchScreen(2); Jump(2); WaitButton(2),61
0116,MANSION A5,17,13,6,2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16,,,393; 638,0x400B; 0x8004,End(30); ReleaseAll(20); CloseMessage(19); LockAll(18); WaitButton(18); PlayFanfare(15); FacePlayer(15); Message(15); JumpIf(13); CompareVarValue(12),292
0117,D47PC0101,3,0,0,0; 1,,,,0x8007,End(3); PlayFanfare(2); LockAll(2); FacePlayer(2); Message(2); WaitButton(2); CloseMessage(2); ReleaseAll(2); SetVar(1); CommonScript(1),19
0118,D47PC0102,1,0,0,,,,,,End(1),1
0119,,12,89,22,0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 31; 32; 33; 34; 35; 36; 37; 38; 39; 40; 41; 42; 43; 44; 45; 47; 48; 49; 50; 51; 52; 53; 54; 55; 57; 58; 59; 60; 65; 66; 71; 81; 82; 83; 84; 85; 86; 87; 88; 89; 91; 92; 93; 94; 95; 96,,,2461; 387; 793,0x4000; 0x4002; 0x4003; 0x4057; 0x40E3; 0x4133; 0x8004; 0x8005; 0x800C,Message(115); JumpIf(111); CompareVarValue(106); End(72); CloseMessage(57); ReleaseAll(50); Movement(50); Jump(49); SetVar(49); WaitButton(41),1212
0120,HOTEL 1 F3,1,0,0,,,,,,End(1),1
0121,MANSION A4,7,15,9,0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11,,,245; 718,0x40F9,End(24); Message(15); JumpIf(14); CloseMessage(14); Movement(13); CompareVarValue(12); ReleaseAll(10); WaitButton(8); WaitMovement(8); Jump(7),184
0122,,24,59,56,0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 31; 32; 33; 34; 35; 36; 37; 38; 39; 40; 41; 42; 43; 44; 45; 46; 47; 48,,,2434; 2455; 340; 393; 549; 638; 639,0x4007; 0x40DB; 0x8004; 0x8005,End(94); Movement(88); JumpIf(67); Message(61); CompareVarValue(61); CloseMessage(48); WalkNorth8(47); Jump(45); WaitMovement(37); ReleaseAll(33),1087
0123,SEWER ROOM 04,24,87,16,48; 49; 50; 51; 52; 53; 54; 55; 56; 57; 58; 60; 61; 62; 63; 64; 65; 66; 67; 68; 69; 70; 71; 72; 73; 74; 75; 76; 77; 80; 81; 82; 83; 84; 85; 86; 87; 88; 89; 90; 91; 92; 93; 98; 99; 101; 103; 104; 105; 106; 107; 108; 109; 110; 111; 112; 113; 114,,,2515; 276; 277; 338; 339; 551,0x4007; 0x40E2; 0x8001; 0x8004; 0x8005,CompareVarValue(87); JumpIf(85); Message(72); Jump(60); End(55); CloseMessage(41); ReleaseAll(36); CreateMultiTouchBox(31); WaitButton(30); PlayFanfare(26),856
0124,,17,57,2,0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 31; 32; 33; 34; 35; 36; 39; 40; 41; 42; 43; 44; 45; 46; 47; 48; 49; 50; 51; 52,,,250,0x4007,Message(54); JumpIf(44); CompareVarValue(43); Jump(41); CloseMessage(35); End(35); CreateMultiTouchBox(34); ReleaseAll(33); WaitButton(31); PlayFanfare(17),493
0125,,14,3,1,0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13,,,239,0x400B,End(18); Message(14); CloseMessage(14); ReleaseAll(13); PlayFanfare(12); LockAll(12); FacePlayer(12); WaitButton(12); JumpIf(3); PlayCry(3),133
0126,,14,6,0,0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15,,,240; 725; 726; 727,0x400C,End(20); Message(16); CloseMessage(16); ReleaseAll(16); WaitButton(15); PlayFanfare(12); LockAll(12); FacePlayer(11); JumpIf(6); CheckFlag(5),143
0127,,9,28,4,0; 1; 2; 3; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 20; 21; 22; 23; 24,,,241; 728; 729,0x4007; 0x400D,JumpIf(33); CreateMultiTouchBox(32); CompareVarValue(29); Message(27); Jump(22); End(19); CloseMessage(11); ReleaseAll(11); WaitButton(10); OpenTouchScreen(8),277
0128,,8,7,7,0; 1; 2; 3; 4; 5; 6; 7; 8,,,691,0x400E; 0x400F; 0x40D3,End(18); Message(11); CloseMessage(11); Movement(8); WaitMovement(7); CompareVarValue(7); LockAll(6); ReleaseAll(6); SetVar(6); JumpIf(6),143
0129,VOLTIC CAVE 1; VOLTIC CAVE 2; VOLTIC CAVE 3; VOLTIC CAVE 5; VOLTIC CAVE 6,2,1,0,0,,,,,SetOWPosition(6); End(3); PlayFanfare(1); LockAll(1); FacePlayer(1); Message(1); WaitButton(1); CloseMessage(1); ReleaseAll(1); NationalDex(1),19
0130,D51R0101,4,1,6,0; 1; 2,,,731,0x40FB,End(11); Movement(6); WaitMovement(6); Message(3); CloseMessage(3); WalkNorth8(3); LockAll(2); SetOWPosition(2); SetVar(2); ReleaseAll(2),69
0131,D51R0201,8,73,45,0; 2; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 24; 25; 26; 27; 28; 29; 30; 31; 32; 33,,SPECIES_DIALGA; SPECIES_DIALGA; SPECIES_PALKIA; SPECIES_GIRATINA,743,0x4004; 0x4008; 0x4009; 0x400A; 0x40FB; 0x4102; 0x4103; 0x4104,CompareVarValue(80); JumpIf(78); Movement(75); End(63); Jump(58); Message(43); WaitMovement(39); CloseMessage(37); SetVar(28); FadeScreen(28),869
0132,D51R0301,4,14,16,0; 1; 2; 3; 4; 7; 8; 9; 10; 11; 12; 13,,,157; 158; 731; 732; 733,0x40FB,End(26); Message(18); CloseMessage(17); Movement(17); WaitMovement(17); JumpIf(11); ReleaseAll(10); CompareVarValue(9); Jump(8); PlayFanfare(7),250
0133,GROUDON DEN; D52R0101,3,11,7,0; 1; 2; 3; 4,ITEM_RED_ORB,,164; 377; 395; 719; 720; 723,0x40F9,End(17); SetFlag(12); Movement(10); WaitMovement(10); Message(9); CloseMessage(9); JumpIf(9); CompareVarValue(7); ReleaseAll(5); ClearFlag(4),139
0134,KYOGRE DEN,3,11,7,0; 1; 2; 3; 4,ITEM_BLUE_ORB,,164; 378; 395; 719; 721; 724,0x40F9,End(17); SetFlag(12); Movement(10); WaitMovement(10); Message(9); CloseMessage(9); JumpIf(9); CompareVarValue(7); ReleaseAll(5); ClearFlag(4),139
0135,SKY PILLAR 02,4,5,1,0; 1,,,164; 379; 722,0x40F9,End(10); JumpIf(5); ReleaseAll(5); Message(4); CloseMessage(4); CompareVarValue(4); SetVar(4); LockFollowingPoke(4); WaitFollowingPoke(4); SetFollowingPokeMovement(4),83
0136,,1,0,0,,,,,,End(1),1
0137,DIRECT2,1,0,0,,,,,,EnterBattleRoom(1); End(1),2
0138,DIRECT4,1,0,0,,,,,,EnterBattleRoom(1); End(1),2
0139,EVERYWHERE; NOTHING; UG; D24; LUGIA DEN 02; HO-OH TWR F2; MELT 10 HS12; DANB 08 HS15; SYDT TWR F1; SYDT TWR F2; SYDT TWR F3; SYDT TWR F4; SYDT TWR F5; SYDT TWR F6; LIGHT H 01 F2; LIGHT H 01 F4; D11R0107; D41R0102; D41R0103; D41R0104; D41R0106; D41R0107; R05R0101; R06R0101; D40R0106; D22R0103; R00; TEST1; NEWMAP; NEWMAP; NEWMAP,1,0,0,,,,,,End(1),1
0140,,1,0,0,,,,,,End(1),1
0141,,801,16,0,3; 4; 6; 9,0x8004,,,0x8008; 0x8009; 0x800C,SetVar(1602); Jump(812); CompareVarValue(12); JumpIf(12); GetItemPocket(9); TextPocket(8); End(4); Message(4); SetVarFromVariable(3); TextPlayerName(3),2489
0142,,1,0,0,,,,,,End(1),1
0143,,1,34,0,0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 27,,,,0x800C,UnionGroup(149); CompareVarValue(130); JumpIf(130); CreateMultiTouchBox(49); Jump(25); Message(15); CloseTouchScreen(12); CloseMultiTouch(9); SetVar(7); Return(7),578
0144,,4,22,0,0; 1; 2; 3; 5; 20; 27; 28; 29; 30,,,679; 680,0x40E5,MysteryGiftGive(18); Jump(17); CompareVarValue(14); JumpIf(14); Message(11); End(9); SetFlag(6); WaitButton(6); TextPlayerName(6); CloseMessage(5),142
0145,,256,15,0,3; 4; 6; 9,0x8004,,,0x800C,UseScript_#1(255); CompareVarValue(12); JumpIf(12); Jump(12); GetItemPocket(9); TextPocket(8); SetVarFromVariable(4); End(4); Message(4); TextPlayerName(3),340
0146,,19,94,0,0; 1; 2; 3; 4; 5; 6; 7; 9; 10; 11; 12; 13; 14; 15; 16; 20; 21; 22; 23; 24; 25; 26; 28; 29; 30; 31; 32; 33; 34,,,,0x8005; 0x8007,JumpIf(88); Jump(81); CompareVarValue(79); CloseMessage(42); Message(41); CutAnimation(38); WaitTime(33); HiddenMachineEffect(32); ReleaseAll(22); End(21),796
0147,MANSION A9; HIROBA,1,0,0,,,,,,End(1),1
0148,,2,10,0,15; 20; 21; 57,,,2439,0x800C,JumpIf(10); CompareVarValue(9); CreateMultiTouchBox(9); Message(8); Jump(7); SetVar(6); WaitButton(5); CloseMessage(5); LocalScript(5); End(5),112
0149,,1,0,0,,,,404; 407; 409; 411; 412; 413; 416; 418; 420; 421; 422; 423; 424; 427; 429; 431; 445; 456; 464; 467; 468; 470; 473; 476; 477; 481; 482; 484; 487; 494; 495; 496; 497; 499; 500; 504; 507; 509; 511; 513; 515; 521; 522; 523; 524; 525; 526; 527; 547; 551; 553; 559; 565; 567; 568; 572; 574; 575; 576; 578; 579; 580; 581; 584; 587; 588; 589; 591; 592; 593; 594; 595; 596; 597; 598; 599; 601; 612; 614; 615; 616; 617; 625; 626; 650; 663; 666; 667; 668; 669; 670; 671; 672; 673; 674; 675; 676; 677; 678; 681; 682; 683; 684; 690; 691; 692; 711; 712; 716; 725; 726; 727; 728; 729; 732; 734; 735; 736; 740; 742; 743; 744; 761; 764; 765; 766; 767; 768; 769; 770; 771; 776; 777; 780; 781; 782; 784; 785; 786; 789; 791; 793; 795,,SetFlag(143); InitLotto(1); End(1),145
0150,,1,3,0,0; 1; 2; 3; 4; 6; 7,ITEM_APRICORN_BOX,,,0x8005,Message(7); CloseMessage(6); WaitButton(4); ReleaseAll(4); End(4); CompareVarValue(3); JumpIf(3); PlayFanfare(1); LockAll(1); FacePlayer(1),45
0151,,29,60,2,0; 1; 3; 4; 5; 6; 7; 10; 13; 14; 15; 16; 17; 18; 20; 21; 22; 23; 26; 27; 28; 29; 30; 31; 32; 33; 34; 35; 36; 42; 43; 45; 46; 47; 48; 49; 50; 51; 52; 53; 54; 55; 56; 57; 58; 59; 60; 61; 62; 63; 64; 65; 66; 67; 68; 69; 70; 71; 72; 73; 74; 75; 76; 77,,,2451; 2454; 2727; 321; 351; 590,0x4058; 0x40F7; 0x4118; 0x8004; 0x8005; 0x8006,Message(79); End(48); JumpIf(48); CloseMessage(46); ReleaseAll(39); CompareVarValue(37); LockAll(35); Jump(34); PlayFanfare(33); WaitButton(33),701
0152,SYDT DOCK 01,5,15,14,0; 1; 2; 3; 4; 5; 6; 7; 8; 11; 12; 13; 14; 15,ITEM_SS_TICKET,,235; 2404; 554; 555; 556; 593; 691,0x4002; 0x40DC; 0x40E1; 0x411A,End(26); Movement(17); WaitMovement(16); Message(14); CloseMessage(14); JumpIf(12); CompareVarValue(12); ReleaseAll(10); LockFollowingPoke(8); WaitFollowingPoke(8),252
0153,SYDT DOCK 02,7,17,9,0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13,,,146; 235; 393; 713,0x4004; 0x40E1,End(28); JumpIf(19); CompareVarValue(17); Message(14); Movement(11); ReleaseAll(11); CloseMessage(10); WaitMovement(9); PlayFanfare(7); WaitButton(7),232
0154,,3,11,5,0; 1; 2; 3,,,235; 554; 555; 556,0x4002; 0x40DC; 0x40E1,End(12); CompareVarValue(9); JumpIf(9); Jump(7); ReleaseAll(5); Movement(5); WaitMovement(5); Message(4); CloseMessage(4); LockFollowingPoke(4),113
0155,,4,6,8,0; 1,,,146; 235; 2456; 2485; 360,0x40E1,End(16); Movement(8); WaitMovement(7); JumpIf(5); LockFollowingPoke(5); WaitFollowingPoke(5); SetFollowingPokeMovement(5); SetFlag(5); ReleaseAll(4); PlayFanfare(3),108
0156,BOAT 01,9,17,8,0; 1; 2; 3; 5; 6; 7; 8; 9; 10,,,235; 533,0x4000; 0x40CB; 0x40DC,End(27); JumpIf(13); Movement(13); ReleaseAll(12); Message(11); CloseMessage(11); CompareVarValue(10); WaitMovement(10); Jump(7); WaitButton(7),196
0157,BOAT 02,3,26,2,0; 4; 5; 6; 7; 8,,,146; 2747; 535,0x40CB; 0x8004; 0x8005,SetVar(36); JumpIf(25); CompareVarValue(23); Jump(18); End(13); CloseMessage(11); ReleaseAll(9); Message(7); SetFlag(7); WaitButton(5),195
0158,BOAT 03,2,9,10,0; 1; 2; 3; 4; 5; 6,,,235; 237; 538,0x40CB,End(20); JumpIf(12); Movement(11); CompareVarValue(10); ReleaseAll(10); WaitMovement(9); Message(9); CloseMessage(9); LockFollowingPoke(7); WaitFollowingPoke(7),196
0159,BOAT 04,1,0,0,,,,,,End(1),1
0160,BOAT 05,1,0,0,,,,,,End(1),1
0161,BOAT 06,4,8,3,0; 1; 6; 7; 8,,,235; 534; 536; 554,0x40CB; 0x8004; 0x8005,End(11); SetFlag(7); CloseMessage(7); Message(6); CompareVarValue(5); JumpIf(5); WaitButton(5); ReleaseAll(5); PlayFanfare(4); Jump(4),87
0162,BOAT 07,4,10,11,0; 1; 2; 6,,,237; 537,0x40CB,End(22); Movement(19); WaitMovement(11); CompareVarValue(10); JumpIf(10); Message(9); CloseMessage(9); ReleaseAll(9); FadeScreen(6); WaitFadeScreen(6),184
0163,,1,1,0,,,,,,PlayFanfare(1); LockAll(1); FollowingPokeFacePlayer(1); TalkFollowingPoke(1); Jump(1); ReleaseAll(1); End(1),7
0164,,6,38,11,0; 1; 2; 3; 4; 5; 6; 7; 8; 10; 11; 12; 13; 17; 18; 20; 21; 22; 26; 27; 28; 29,,,,0x4003; 0x400A; 0x4117; 0x4137; 0x4142; 0x4143; 0x4144; 0x4145; 0x4146; 0x4147; 0x4148; 0x4149; 0x414A; 0x414B; 0x414F; 0x4150; 0x8004; 0x8005,JumpIf(32); CompareVarValue(31); End(27); Jump(26); Message(24); Call(20); SetVar(18); Movement(17); CreateMultiTouchBox(17); WaitMovement(15),419
0165,,1,4,0,0; 1; 2; 3; 4; 8,,,,,WaitTime(6); CompareVarValue(6); JumpIf(6); Message(6); End(3); SystemSetSleepFlag(2); SetVarFromVariable(2); Jump(2); OpenTouchScreen(2); YesNoTouchScreen(2),59
0166,,13,79,0,0; 3; 4; 5; 7; 11; 12; 13; 14; 15; 16; 17; 18; 19; 111; 112; 116; 117; 124; 130; 131; 132; 140; 141; 142; 143; 150; 151; 152; 153; 159; 160; 167; 175; 176; 212; 219,,,2406,0x4003; 0x4004; 0x4133; 0x8004; 0x8005; 0x8007; 0x800C,AddMultiOption(78); CompareVarValue(77); JumpIf(77); Jump(74); Message(43); SetVar(24); ShowMulti(18); SetVarFromVariable(18); MultiLocalText(15); End(13),525
0167,,3,102,15,0; 1; 2; 3; 4; 5; 6; 8; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 20; 22; 23; 24; 25; 26; 27; 28; 29; 30; 31; 32; 33; 34; 35; 36; 37; 38; 39; 40; 41; 42; 43; 44; 45; 46; 47,,,239; 240; 241; 691; 725; 726; 727; 728; 729,0x4009; 0x400A; 0x40E2; 0x8000,CompareVarValue(99); JumpIf(87); Message(67); Jump(59); CreateMultiTouchBox(46); Return(37); CallIf(32); LockFollowingPoke(30); WaitFollowingPoke(30); SetFollowingPokeMovement(30),956
0168,R01; RT 1 AREA 1,3,8,5,,,,393; 638,,End(14); JumpIf(10); CompareVarValue(9); GetCommonMessageArchive(7); MessageFromArchive(7); Movement(7); CloseMessage(6); FadeScreen(6); WaitFadeScreen(6); WalkNorth8(6),144
0169,RT 2 AREA 1; RT 2 AREA 2,1,0,0,,,,,,SetIconBoard(1); ShowBoard(1); WaitBoard(1); CloseBoard(1); CommonScript(1); End(1),6
0170,,1,0,0,,,,,,SetTextBoard(1); ShowBoard(1); WaitBoard(1); BoardMessage(1); CommonScript(1); End(1),6
0171,,1,2,0,0; 2,,,308,0x8004; 0x8005,Message(3); CloseMessage(3); ReleaseAll(3); End(3); JumpIf(2); SetVar(2); CommonScript(2); WaitButton(2); PlayFanfare(1); LockAll(1),27
0172,RADE 01 GV09,2,2,0,2; 3,,,309,0x8004; 0x8005,CloseMessage(4); ReleaseAll(4); End(4); Message(3); WaitButton(3); PlayFanfare(2); LockAll(2); FacePlayer(2); JumpIf(2); SetVar(2),36
0173,,1,0,0,0,,,,,PlayFanfare(1); LockAll(1); FacePlayer(1); Message(1); WaitButton(1); CloseMessage(1); ReleaseAll(1); End(1),8
0174,,1,0,0,0,,,,,PlayFanfare(1); LockAll(1); FacePlayer(1); Message(1); WaitButton(1); CloseMessage(1); ReleaseAll(1); End(1),8
0175,RT 3 AREA 1; RT 3 AREA 2,5,19,0,1; 2; 3; 4; 5,,,,,Jump(18); CompareVarValue(15); JumpIf(15); Message(15); FadeScreen(14); WaitFadeScreen(14); PlayCry(14); LockFollowingPoke(12); SetDeoxysForm(8); SetFollowingPokePosition(7),210
0176,,3,0,0,0; 1,,,,0x8007,End(3); PlayFanfare(2); LockAll(2); FacePlayer(2); Message(2); WaitButton(2); CloseMessage(2); ReleaseAll(2); SetVar(1); CommonScript(1),19
0177,,1,0,0,,,,,,End(1),1
0178,RT 3 AREA 3,3,4,0,,,,164; 784,,End(6); SetFlag(3); JumpIf(3); ClearFlag(2); ReleaseAll(2); CheckFlag(2); PlayFanfare(1); LockAll(1); FacePlayer(1); PlayCry(1),29
0179,RT 3 AREA 4,2,0,0,0,,,,,End(2); PlayFanfare(1); LockAll(1); FacePlayer(1); Message(1); WaitButton(1); CloseMessage(1); ReleaseAll(1); SetTextBoard(1); ShowBoard(1),14
0180,MANSION A3; R05R0201,1,0,0,0,,,,,PlayFanfare(1); LockAll(1); FacePlayer(1); Message(1); WaitButton(1); CloseMessage(1); ReleaseAll(1); End(1),8
0181,R05R0202,2,6,1,0; 1; 2; 3; 4; 5; 6; 7; 8; 9,ITEM_RAGE_CANDY_BAR; ITEM_RAGE_CANDY_BAR; ITEM_RAGE_CANDY_BAR,,356,0x4000; 0x4001; 0x8004; 0x8005,Message(17); CloseMessage(13); End(9); SetVar(9); JumpIf(8); CompareVarValue(7); WaitButton(7); ReleaseAll(7); SetFlag(3); OpenTouchScreen(2),102
0182,,1,0,0,0,,,,,PlayFanfare(1); LockAll(1); FacePlayer(1); Message(1); WaitButton(1); CloseMessage(1); ReleaseAll(1); End(1),8
0183,R05R0401,2,2,0,0; 1; 2,,,305,0x8004; 0x8005,Message(4); CloseMessage(4); ReleaseAll(4); End(4); WaitButton(3); PlayFanfare(2); LockAll(2); FacePlayer(2); JumpIf(2); SetVar(2),35
0184,LOB FOREST 01; LOB FOREST 02; LOB FOREST 03; LOB FOREST 04; LOB FOREST 05; LOB FOREST 06; LOB FOREST 07; LOB FOREST 08; LOB FOREST 09,3,4,0,,,,164; 627,,End(6); SetFlag(3); JumpIf(3); ClearFlag(2); ReleaseAll(2); CheckFlag(2); PlayFanfare(1); LockAll(1); FacePlayer(1); PlayCry(1),29
0185,WLDA03 GV08,1,1,0,0; 1,,,280,,Message(2); WaitButton(2); CloseMessage(2); ReleaseAll(2); End(2); PlayFanfare(1); LockAll(1); FacePlayer(1); CheckFlag(1); JumpIf(1),15
0186,RT 4 AREA 1,3,4,0,,,,164; 629,,End(6); SetFlag(3); JumpIf(3); ClearFlag(2); ReleaseAll(2); CheckFlag(2); PlayFanfare(1); LockAll(1); FacePlayer(1); PlayCry(1),29
0187,R07R0101,1,1,0,0; 1,,,280,,Message(2); WaitButton(2); CloseMessage(2); ReleaseAll(2); End(2); PlayFanfare(1); LockAll(1); FacePlayer(1); CheckFlag(1); JumpIf(1),15
0188,RT 5 AREA 1; RT 5 AREA 2,2,20,0,,,,,,CreateMultiTouchBox(30); CompareVarValue(30); JumpIf(30); FadeScreen(30); WaitFadeScreen(30); End(22); ReleaseAll(21); Warp(15); GetCommonMessageArchive(4); OpenTouchScreen(4),231
0189,,1,0,0,0,,,,,PlayFanfare(1); LockAll(1); FacePlayer(1); Message(1); WaitButton(1); CloseMessage(1); ReleaseAll(1); End(1),8
