Water?,Headers,#,Area,20%,20%,10%,10%,10%,10%,5%,5%,4%,4%,1%,1%,Level,Typing,Completed,Time
,TBD,38.0,PALM TREE,WINGULL,DUCKLETT,COTTONEE,FARFETCHD,HOPPIP,PIKACHU,VOLTORB,VOLTORB,FARFETCHD,FARFETCHD,PYUKUMUKU,PYUKUMUKU,15,Cave,TRUE,Morn
,,38.1,PALM TREE,WINGULL,DUCKLETT,COTTONEE,SCATTERBUG,HOPPIP,PIKACHU,VOLTORB,VOLTORB,FARFETCHD,FARFETCHD,PYUKUMUKU,PYUKUMUKU,15,Cave,TRUE,Day
,,38.2,PALM TREE,WINGULL,DUCKLETT,COTTONEE,FARFETCHD,HOPPIP,PIKACHU,VOLTORB,VOLTORB,FARFETCHD,FARFETCHD,PYUKUMUKU,PYUKUMUKU,15,Cave,TRUE,Night
,,39.0,Well Cave,BIDOOF,DOTTLER,GRIMER,MIENFOO,MIENFOO,STUFFUL,IGGLYBUFF,IGGLYBUFF,IGGLYBUFF,NOIBAT,SANDILE,SANDILE,12,Cave,TRUE,Morn
,,39.1,Cave Generic 2,BIDOOF,DOTTLER,GRIMER,IGGLYBUFF,MIENFOO,STUFFUL,IGGLYBUFF,IGGLYBUFF,NOIBAT,NOIBAT,SANDILE,SANDILE,12,Cave,TRUE,Day
,,39.2,Cave Generic 2,BIDOOF,DOTTLER,GRIMER_ALOLAN,STUFFUL,MIENFOO,STUFFUL,IGGLYBUFF,NOIBAT,NOIBAT,NOIBAT,SANDILE,SANDILE,12,Cave,TRUE,Night
,,40.0,WAYDOWN CAVE,RATTATA,NINCADA,EKANS,PETILIL,SCRAGGY,YAMPER,EKANS,PETILIL,PANCHAM,PANCHAM,TRAPINCH,TRAPINCH,12,Cave,TRUE,Morn
,,40.1,WAYDOWN CAVE,RATTATA,NINCADA,EKANS,PETILIL,SCRAGGY,YAMPER,PETILIL,PETILIL,PANCHAM,PANCHAM,TRAPINCH,TRAPINCH,12,Cave,TRUE,Day
,,40.2,WAYDOWN CAVE,RATTATA_ALOLAN,NINCADA,EKANS,PETILIL,SCRAGGY,SCRAGGY,YAMPER,PANCHAM,PANCHAM,PANCHAM,TRAPINCH,TRAPINCH,12,Cave,TRUE,Night
,,41.0,ROUTE 7 AREA 1,MIME_JR.,SPEWPA,KRICKETOT,CACNEA,SPEAROW,TOGEDEMARU,VENONAT,VENONAT,BUNEARY,BUNEARY,ABRA,ABRA,14,Plain,TRUE,Morn
,,41.1,ROUTE 7 AREA 1,MIME_JR.,SPEWPA,KRICKETOT,CACNEA,SPEAROW,TOGEDEMARU,VENONAT,VENONAT,BUNEARY,BUNEARY,ABRA,ABRA,14,Plain,TRUE,Day
,,41.2,ROUTE 7 AREA 1,MIME_JR.,SPEWPA,KRICKETOT,CACNEA,SPEAROW,TOGEDEMARU,VENONAT,VENONAT,BUNEARY,BUNEARY,ABRA,ABRA,14,Plain,TRUE,Night
,,42.0,ROUTE 7 AREA 2,SKWOVET,METAPOD,STUNKY,DEERLING,YAMPER,SUNKERN,DEERLING,STUNKY,AIPOM,AIPOM,MUNCHLAX,MUNCHLAX,14,Plain,TRUE,Morn
,,42.1,ROUTE 7 AREA 2,SKWOVET,METAPOD,YAMPER,DEERLING,YAMPER,SUNKERN,COTTONEE,STUNKY,AIPOM,AIPOM,MUNCHLAX,MUNCHLAX,14,Plain,TRUE,Day
,,42.2,ROUTE 7 AREA 2,SKWOVET,METAPOD,STUNKY,DEERLING,YAMPER,SUNKERN,STUNKY,STUNKY,AIPOM,AIPOM,MUNCHLAX,MUNCHLAX,14,Plain,TRUE,Night
,,43.0,ROUTE 7 AREA 3,GLAMEOW,KAKUNA,GULPIN,DODUO,MANKEY,MANKEY,FLETCHLING,FLETCHLING,MEOWTH,MEOWTH,MEOWTH,MEOWTH,15,Plain,TRUE,Morn
,,43.1,ROUTE 7 AREA 3,GLAMEOW,KAKUNA,GULPIN,DODUO,MANKEY,FLETCHLING,FLETCHLING,FLETCHLING,MEOWTH,MEOWTH_ALOLAN,MEOWTH,MEOWTH_ALOLAN,15,Plain,TRUE,Day
,,43.2,ROUTE 7 AREA 3,GLAMEOW,KAKUNA,GULPIN,DODUO,MANKEY,MANKEY,FLETCHLING,FLETCHLING,MEOWTH_ALOLAN,MEOWTH_ALOLAN,MEOWTH_ALOLAN,MEOWTH_ALOLAN,15,Plain,TRUE,Night
,,44.0,Danberra City,SPINARK,CASCOON,TRUBBISH,TRUBBISH,ESPURR,TRUBBISH,HELIOPTILE,HELIOPTILE,BALTOY,BALTOY,MAREANIE,MAREANIE,15,Plain,TRUE,Morn
,,44.1,ROUTE 7 AREA 4,SPINARK,CASCOON,HELIOPTILE,COTTONEE,ESPURR,TRUBBISH,HELIOPTILE,HELIOPTILE,BALTOY,BALTOY,MAREANIE,MAREANIE,15,Plain,TRUE,Day
,,44.2,ROUTE 7 AREA 4,SPINARK,CASCOON,TRUBBISH,TRUBBISH,ESPURR,TRUBBISH,HELIOPTILE,HELIOPTILE,BALTOY,BALTOY,MAREANIE,MAREANIE,15,Plain,TRUE,Night
,,45.0,ROUTE 8 AREA 1,DWEBBLE,SILCOON,TEDDIURSA,PANCHAM,MILCERY,MILCERY,BLITZLE,BLITZLE,STARLY,STARLY,VOLTORB_HISUIAN,VOLTORB_HISUIAN,16,Plain,TRUE,Morn
,,45.1,ROUTE 8 AREA 1,TEDDIURSA,SILCOON,TEDDIURSA,PANCHAM,MILCERY,BLITZLE,BLITZLE,STARLY,STARLY,STARLY,VOLTORB_HISUIAN,VOLTORB_HISUIAN,16,Plain,TRUE,Day
,,45.2,ROUTE 8 AREA 1,DWEBBLE,SILCOON,PANCHAM,PANCHAM,PANCHAM,MILCERY,BLITZLE,BLITZLE,STARLY,STARLY,VOLTORB_HISUIAN,VOLTORB_HISUIAN,16,Plain,TRUE,Night
,,46.0,ROUTE 8 AREA 2,ZIGZAGOON,BLITZLE,TIMBURR,ZIGZAGOON,TIMBURR,BUNEARY,MIENFOO,MIENFOO,MIENFOO,EXEGGCUTE,DUNSPARCE,DUNSPARCE,16,Plain,TRUE,Morn
,,46.1,ROUTE 8 AREA 2,ZIGZAGOON,BLITZLE,TIMBURR,ZIGZAGOON,TIMBURR,BUNEARY,MIENFOO,MIENFOO,BUNEARY,BUNEARY,DUNSPARCE,DUNSPARCE,16,Plain,TRUE,Day
,,46.2,ROUTE 8 AREA 2,ZIGZAGOON_GALARIAN,BLITZLE,ZIGZAGOON_GALARIAN,ZIGZAGOON,TIMBURR,BUNEARY,MIENFOO,MIENFOO,MIENFOO,EXEGGCUTE,DUNSPARCE,DUNSPARCE,16,Plain,TRUE,Night
,,47.0,ROUTE 8 AREA 3,WATTREL,FOONGUS,MACHOP,WATTREL,MACHOP,GRUBBIN,HOUNDOUR,HOUNDOUR,SWABLU,SWABLU,ZANGOOSE,ZANGOOSE,18,Plain,TRUE,Morn
,,47.1,ROUTE 8 AREA 3,WATTREL,FOONGUS,MACHOP,WATTREL,MACHOP,GRUBBIN,HOUNDOUR,HOUNDOUR,SWABLU,SWABLU,ZANGOOSE,ZANGOOSE,18,Plain,TRUE,Day
,,47.2,ROUTE 8 AREA 3,WATTREL,FOONGUS,HOUNDOUR,WATTREL,MACHOP,GRUBBIN,HOUNDOUR,HOUNDOUR,SWABLU,SWABLU,ZANGOOSE,ZANGOOSE,18,Plain,TRUE,Night
,,48.0,ROUTE 8 AREA 4,MINCCINO,MORELULL,ELECTRIKE,SCRAGGY,APPLIN,APPLIN,SCRAGGY,SCRAGGY,SMEARGLE,SMEARGLE,SEVIPER,SEVIPER,18,Plain,TRUE,Morn
,,48.1,ROUTE 8 AREA 4,MINCCINO,MORELULL,ELECTRIKE,SCRAGGY,APPLIN,APPLIN,APPLIN,SCRAGGY,SMEARGLE,SMEARGLE,SEVIPER,SEVIPER,18,Plain,TRUE,Day
,,48.2,ROUTE 8 AREA 4,MINCCINO,MORELULL,ELECTRIKE,SCRAGGY,APPLIN,SCRAGGY,SCRAGGY,SCRAGGY,SMEARGLE,SMEARGLE,SEVIPER,SEVIPER,18,Plain,TRUE,Night
,,49.0,VOLTIC CAVE 1,MIMEJR,MEDITITE,WOOBAT,BALTOY,ZORUA,SPINDA,TYNAMO,TYNAMO,ABRA,ABRA,KADABRA,KADABRA,18,Mystical,TRUE,Morn
,,49.1,VOLTIC CAVE 1,MIMEJR,MEDITITE,WOOBAT,BALTOY,ZORUA,SPINDA,TYNAMO,TYNAMO,ABRA,ABRA,KADABRA,KADABRA,18,Mystical,TRUE,Day
,,49.2,VOLTIC CAVE 1,MIMEJR,MEDITITE,WOOBAT,BALTOY,ZORUA,SPINDA,TYNAMO,TYNAMO,ABRA,ABRA,KADABRA,KADABRA,18,Mystical,TRUE,Night
,,50.0,VOLTIC CAVE 2,SWIRLIX,SWIRLIX,PLUSLE,MINUN,ESPURR,CLEFAIRY,MAGNEMITE,MAGNEMITE,SOLOSIS,SOLOSIS,PYUKUMUKU,PYUKUMUKU,18,Mystical,TRUE,Morn
,,50.1,VOLTIC CAVE 2,SWIRLIX,SWIRLIX,PLUSLE,MINUN,ESPURR,CLEFAIRY,MAGNEMITE,MAGNEMITE,SOLOSIS,SOLOSIS,PYUKUMUKU,PYUKUMUKU,18,Mystical,TRUE,Day
,,50.2,VOLTIC CAVE 2,SWIRLIX,SWIRLIX,PLUSLE,MINUN,ESPURR,CLEFAIRY,MAGNEMITE,MAGNEMITE,SOLOSIS,SOLOSIS,PYUKUMUKU,PYUKUMUKU,18,Mystical,TRUE,Night
,,51.0,VOLTIC CAVE 3,SPINDA,DOTTLER,PAWNIARD,MEDITITE,BRONZOR,SWIRLIX,VOLTORB,VOLTORB,HATENNA,HATENNA,PONYTA_GALARIAN,PONYTA_GALARIAN,18,Mystical,TRUE,Morn
,,51.1,VOLTIC CAVE 3,SPINDA,DOTTLER,PAWNIARD,MEDITITE,BRONZOR,SWIRLIX,VOLTORB,VOLTORB,HATENNA,HATENNA,PONYTA_GALARIAN,PONYTA_GALARIAN,18,Mystical,TRUE,Day
,,51.2,VOLTIC CAVE 3,SPINDA,DOTTLER,PAWNIARD,MEDITITE,BRONZOR,SWIRLIX,VOLTORB,VOLTORB,HATENNA,HATENNA,PONYTA_GALARIAN,PONYTA_GALARIAN,18,Mystical,TRUE,Night
,,52.0,VOLTIC CAVE 4,PLUSLE,MINUN,BALTOY,INKAY,ELGYEM,JIGGLYPUFF,GOLETT,GOLETT,RALTS,RALTS,KIRLIA,KIRLIA,20,Mystical,TRUE,Morn
,,52.1,VOLTIC CAVE 4,PLUSLE,MINUN,BALTOY,INKAY,ELGYEM,JIGGLYPUFF,GOLETT,GOLETT,RALTS,RALTS,KIRLIA,KIRLIA,20,Mystical,TRUE,Day
,,52.2,VOLTIC CAVE 4,PLUSLE,MINUN,BALTOY,INKAY,ELGYEM,JIGGLYPUFF,GOLETT,GOLETT,RALTS,RALTS,KIRLIA,KIRLIA,20,Mystical,TRUE,Night
,,53.0,VOLTIC CAVE 5,JIGGLYPUFF,CLEFAIRY,UNOWN,PONYTA_GALARIAN,DROWZEE,PORYGON,MUNNA,MUNNA,GOTHITA,GOTHITA,PAWMI,PAWMI,20,Mystical,TRUE,Morn
,,53.1,VOLTIC CAVE 5,JIGGLYPUFF,CLEFAIRY,UNOWN,PONYTA_GALARIAN,DROWZEE,PORYGON,MUNNA,MUNNA,GOTHITA,GOTHITA,PAWMI,PAWMI,20,Mystical,TRUE,Day
,,53.2,VOLTIC CAVE 5,JIGGLYPUFF,CLEFAIRY,UNOWN,PONYTA_GALARIAN,DROWZEE,PORYGON,MUNNA,MUNNA,GOTHITA,GOTHITA,PAWMI,PAWMI,20,Mystical,TRUE,Night
,,54.0,VOLTIC CAVE 6,ESPURR,JOLTIK,WOOBAT,SPOINK,TOGEPI,SPRITZEE,PLUSLE,MINUN,PONYTA_GALARIAN,PONYTA_GALARIAN,TINKATINK,TINKATINK,20,Mystical,TRUE,Morn
,,54.1,VOLTIC CAVE 6,ESPURR,JOLTIK,WOOBAT,SPOINK,TOGEPI,SPRITZEE,PLUSLE,MINUN,PONYTA_GALARIAN,PONYTA_GALARIAN,TINKATINK,TINKATINK,20,Mystical,TRUE,Day
,,54.2,VOLTIC CAVE 6,ESPURR,JOLTIK,WOOBAT,SPOINK,TOGEPI,SPRITZEE,PLUSLE,MINUN,PONYTA_GALARIAN,PONYTA_GALARIAN,TINKATINK,TINKATINK,20,Mystical,TRUE,Night
,,55.0,SYD FOREST 1,VOLTORB_HISUIAN,SKIDDO,FEAROW,PANSAGE,CHARJABUG,YANMA,DUSTOX,DUSTOX,BEEDRILL,BEEDRILL,SCYTHER,SCYTHER,21,Plain,TRUE,Morn
,,55.1,SYD FOREST 1,VOLTORB_HISUIAN,SKIDDO,FEAROW,PANSAGE,CHARJABUG,YANMA,DUSTOX,DUSTOX,BEEDRILL,BEEDRILL,SCYTHER,SCYTHER,21,Plain,TRUE,Day
,,55.2,SYD FOREST 1,VOLTORB_HISUIAN,SKIDDO,FEAROW,PANSAGE,CHARJABUG,YANMA,DUSTOX,DUSTOX,BEEDRILL,BEEDRILL,SCYTHER,SCYTHER,21,Plain,TRUE,Night
,,56.0,SYD FOREST 2,PANSAGE,ODDISH,ILLUMISE,VOLBEAT,GLOOM,PINECO,BUTTERFREE,BUTTERFREE,ARIADOS,ARIADOS,CARNIVINE,CARNIVINE,21,Plain,TRUE,Morn
,,56.1,SYD FOREST 2,PANSAGE,ODDISH,ILLUMISE,VOLBEAT,GLOOM,PINECO,BUTTERFREE,BUTTERFREE,ARIADOS,ARIADOS,CARNIVINE,CARNIVINE,21,Plain,TRUE,Day
,,56.2,SYD FOREST 2,PANSAGE,ODDISH,ILLUMISE,VOLBEAT,GLOOM,PINECO,BUTTERFREE,BUTTERFREE,ARIADOS,ARIADOS,CARNIVINE,CARNIVINE,21,Plain,TRUE,Night
,,57.0,SYD FOREST 3,SEWADDLE,BELLSPROUT,SWADLOON,PANSAGE,WEEPINBELL,WORMADAM_SANDY,MOTHIM,MOTHIM,SHELMET,SHELMET,PINSIR,PINSIR,21,Plain,TRUE,Morn
,,57.1,SYD FOREST 3,SEWADDLE,BELLSPROUT,SWADLOON,PANSAGE,WEEPINBELL,WORMADAM,MOTHIM,MOTHIM,SHELMET,SHELMET,PINSIR,PINSIR,21,Plain,TRUE,Day
,,57.2,SYD FOREST 3,SEWADDLE,BELLSPROUT,SWADLOON,PANSAGE,WEEPINBELL,WORMADAM_TRASHY,MOTHIM,MOTHIM,SHELMET,SHELMET,PINSIR,PINSIR,21,Plain,TRUE,Night
,,58.0,SYD FOREST 4,EXEGGCUTE,EXEGGCUTE,PETILIL,SKORUPI,SKIPLOOM,EXEGGCUTE,BEAUTIFLY,BEAUTIFLY,KARRABLAST,KARRABLAST,HERACROSS,HERACROSS,23,Plain,TRUE,Morn
,,58.1,SYD FOREST 4,COMBEE,COMBEE,PETILIL,SKORUPI,SKIPLOOM,EXEGGCUTE,BEAUTIFLY,BEAUTIFLY,KARRABLAST,KARRABLAST,HERACROSS,HERACROSS,23,Plain,TRUE,Day
,,58.2,SYD FOREST 4,EXEGGCUTE,EXEGGCUTE,PETILIL,SKORUPI,SKIPLOOM,EXEGGCUTE,BEAUTIFLY,BEAUTIFLY,KARRABLAST,KARRABLAST,HERACROSS,HERACROSS,23,Plain,TRUE,Night
,,59.0,SYD FOREST 5,SEEDOT,SHROOMISH,FOMANTIS,STEENEE,NUZLEAF,TANGELA,MASQUERAIN,MASQUERAIN,WIMPOD,WIMPOD,BRELOOM,BRELOOM,23,Plain,TRUE,Morn
,,59.1,SYD FOREST 5,SEEDOT,SHROOMISH,FOMANTIS,STEENEE,NUZLEAF,TANGELA,MASQUERAIN,MASQUERAIN,WIMPOD,WIMPOD,BRELOOM,BRELOOM,23,Plain,TRUE,Day
,,59.2,SYD FOREST 5,SEEDOT,SHROOMISH,FOMANTIS,STEENEE,NUZLEAF,TANGELA,MASQUERAIN,MASQUERAIN,WIMPOD,WIMPOD,BRELOOM,BRELOOM,23,Plain,TRUE,Night
,,60.0,SYD FOREST 6,BUDEW,BOUNSWEET,STEENEE,CHARJABUG,ROSELIA,KRICKETUNE,YANMA,YANMA,DURANT,DURANT,ROSERADE,ROSERADE,23,Plain,TRUE,Morn
,,60.1,SYD FOREST 6,BUDEW,BOUNSWEET,STEENEE,CHARJABUG,ROSELIA,KRICKETUNE,YANMA,YANMA,DURANT,DURANT,ROSERADE,ROSERADE,23,Plain,TRUE,Day
,,60.2,SYD FOREST 6,BUDEW,BOUNSWEET,STEENEE,CHARJABUG,ROSELIA,KRICKETUNE,YANMA,YANMA,DURANT,DURANT,ROSERADE,ROSERADE,23,Plain,TRUE,Night
,,61.0,SYD FOREST 7,VENIPEDE,LOTAD,LOMBRE,RELLOR,NINJASK,LEDIAN,WHIRLPEDE,WHIRLPEDE,RABSCA,RABSCA,SIMISAGE,SIMISAGE,24,Plain,TRUE,Morn
,,61.1,SYD FOREST 7,VENIPEDE,LOTAD,LOMBRE,RELLOR,NINJASK,LEDIAN,WHIRLPEDE,WHIRLPEDE,RABSCA,RABSCA,SIMISAGE,SIMISAGE,24,Plain,TRUE,Day
,,61.2,SYD FOREST 7,VENIPEDE,LOTAD,LOMBRE,RELLOR,NINJASK,LEDIAN,WHIRLPEDE,WHIRLPEDE,RABSCA,RABSCA,SIMISAGE,SIMISAGE,24,Plain,TRUE,Night
,,62.0,SYD FOREST 8,FOMANTIS,TAROUNTULA,SPEWPA,FERROSEED,GOSSIFLEUR,SPIDOPS,SHIINOTIC,SHIINOTIC,LARVESTA,LARVESTA,TROPIUS,TROPIUS,24,Plain,TRUE,Morn
,,62.1,SYD FOREST 8,FOMANTIS,TAROUNTULA,SPEWPA,FERROSEED,GOSSIFLEUR,SPIDOPS,SHIINOTIC,SHIINOTIC,LARVESTA,LARVESTA,TROPIUS,TROPIUS,24,Plain,TRUE,Day
,,62.2,SYD FOREST 8,FOMANTIS,TAROUNTULA,SPEWPA,FERROSEED,GOSSIFLEUR,SPIDOPS,SHIINOTIC,SHIINOTIC,LARVESTA,LARVESTA,TROPIUS,TROPIUS,24,Plain,TRUE,Night
,,63.0,SYD FOREST 9,MORELULL,CUTIEFLY,PARASECT,VIVILLON,APPLIN,SUNFLORA,CHERRIM,CHERRIM,SNOM,SNOM,SHEDNINJA,SHEDNINJA,25,Plain,TRUE,Morn
,,63.1,SYD FOREST 9,MORELULL,CUTIEFLY,PARASECT,VIVILLON,APPLIN,SUNFLORA,CHERRIM,CHERRIM,SNOM,SNOM,SHEDNINJA,SHEDNINJA,25,Plain,TRUE,Day
,,63.2,SYD FOREST 9,MORELULL,CUTIEFLY,PARASECT,VIVILLON,APPLIN,SUNFLORA,CHERRIM,CHERRIM,SNOM,SNOM,SHEDNINJA,SHEDNINJA,25,Plain,TRUE,Night
,,64.0,ROUTE 12 AREA 1,TYMPOLE,POLIWAG,PALPITOAD,POLIWHIRL,WAILMER,WOOPER,WOOPER,WOOPER,QUAGSIRE,QUAGSIRE,AUDINO,AUDINO,26,Plain,TRUE,Morn
,,64.1,ROUTE 12 AREA 1,TYMPOLE,POLIWAG,PALPITOAD,POLIWHIRL,WAILMER,WOOPER,WOOPER,WOOPER,QUAGSIRE,QUAGSIRE,AUDINO,AUDINO,26,Plain,TRUE,Day
,,64.2,ROUTE 12 AREA 1,TYMPOLE,POLIWAG,PALPITOAD,POLIWHIRL,WAILMER,WOOPER,WOOPER,WOOPER,QUAGSIRE,QUAGSIRE,AUDINO,AUDINO,26,Plain,TRUE,Night
,,65.0,ISLAND 1 AREA 1,SNUBBULL,SWELLOW,CRABRAWLER,SKIPLOOM,NIDORINA,NIDORINO,LICKITUNG,LICKITUNG,AXEW,AXEW,CHANSEY,CHANSEY,24,Plain,TRUE,Morn
,,65.1,ISLAND 1 AREA 1,SNUBBULL,SWELLOW,CRABRAWLER,SKIPLOOM,NIDORINA,NIDORINO,LICKITUNG,LICKITUNG,AXEW,AXEW,CHANSEY,CHANSEY,24,Plain,TRUE,Day
,,65.2,ISLAND 1 AREA 1,SNUBBULL,SWELLOW,CRABRAWLER,SKIPLOOM,NIDORINA,NIDORINO,LICKITUNG,LICKITUNG,AXEW,AXEW,CHANSEY,CHANSEY,24,Plain,TRUE,Night
,,66.0,ISLAND 1 AREA 2,TANDEMAUS,RUFFLET,PIDGEOTTO,TOEDSCOOL,WHIRLIPEDE,DELIBIRD,SHROODLE,SHROODLE,GALARIAN_DARUMAKA,GALARIAN_DARUMAKA,CHANSEY,CHANSEY,24,Plain,TRUE,Morn
,,66.1,ISLAND 1 AREA 2,TANDEMAUS,RUFFLET,PIDGEOTTO,TOEDSCOOL,WHIRLIPEDE,DELIBIRD,SHROODLE,SHROODLE,GALARIAN_DARUMAKA,GALARIAN_DARUMAKA,CHANSEY,CHANSEY,24,Plain,TRUE,Day
,,66.2,ISLAND 1 AREA 2,TANDEMAUS,RUFFLET,PIDGEOTTO,TOEDSCOOL,WHIRLIPEDE,DELIBIRD,SHROODLE,SHROODLE,GALARIAN_DARUMAKA,GALARIAN_DARUMAKA,CHANSEY,CHANSEY,24,Plain,TRUE,Night
,,67.0,ISLAND 1 AREA 3,SHINX,STUFFUL,TRUMBEAK,WEEPINBELL,GLOOM,LUXIO,SLOWPOKE_GALARIAN,SLOWPOKE_GALARIAN,CAPSAKID,CAPSAKID,CHARCADET,CHARCADET,24,Plain,TRUE,Morn
,,67.1,ISLAND 1 AREA 3,SHINX,STUFFUL,TRUMBEAK,WEEPINBELL,GLOOM,LUXIO,SLOWPOKE_GALARIAN,SLOWPOKE_GALARIAN,CAPSAKID,CAPSAKID,CHARCADET,CHARCADET,24,Plain,TRUE,Day
,,67.2,ISLAND 1 AREA 3,SHINX,STUFFUL,TRUMBEAK,WEEPINBELL,GLOOM,LUXIO,SLOWPOKE_GALARIAN,SLOWPOKE_GALARIAN,CAPSAKID,CAPSAKID,CHARCADET,CHARCADET,24,Plain,TRUE,Night
,,68.0,ISLAND 1 AREA 4,NUZLEAF,LOMBRE,STARAVIA,AIPOM,DELCATTY,FLAAFFY,KADABRA,KADABRA,VULPIX_ALOLAN,VULPIX_ALOLAN,PERRSERKER,PERRSERKER,24,Plain,TRUE,Morn
,,68.1,ISLAND 1 AREA 4,NUZLEAF,LOMBRE,STARAVIA,AIPOM,DELCATTY,FLAAFFY,KADABRA,KADABRA,VULPIX_ALOLAN,VULPIX_ALOLAN,PERRSERKER,PERRSERKER,24,Plain,TRUE,Day
,,68.2,ISLAND 1 AREA 4,NUZLEAF,LOMBRE,STARAVIA,AIPOM,DELCATTY,FLAAFFY,KADABRA,KADABRA,VULPIX_ALOLAN,VULPIX_ALOLAN,PERRSERKER,PERRSERKER,24,Plain,TRUE,Night
,,69.0,ISLAND 1 AREA 5,PURRLOIN,VULLABY,MASCHIFF,CACNEA,HERDIER,ZORUA_HISUIAN,MEOWTH_GALARIAN,MEOWTH_GALARIAN,LIEPARD,LIEPARD,QWILFISH_HISUIAN,QWILFISH_HISUIAN,24,Dark,TRUE,Morn
,,69.1,ISLAND 1 AREA 5,PURRLOIN,VULLABY,MASCHIFF,CACNEA,HERDIER,ZORUA_HISUIAN,MEOWTH_GALARIAN,MEOWTH_GALARIAN,LIEPARD,LIEPARD,QWILFISH_HISUIAN,QWILFISH_HISUIAN,24,Dark,TRUE,Day
,,69.2,ISLAND 1 AREA 5,PURRLOIN,VULLABY,MASCHIFF,CACNEA,HERDIER,ZORUA_HISUIAN,MEOWTH_GALARIAN,MEOWTH_GALARIAN,LIEPARD,LIEPARD,QWILFISH_HISUIAN,QWILFISH_HISUIAN,24,Dark,TRUE,Night
,,70.0,ISLAND 1 AREA 6,PHANTUMP,PUMPKABOO,GREAVARD,CORVISQUIRE,MURKROW,ZORUA,MURKROW,HONCHKROW,PERSIAN_ALOLAN,PERSIAN_ALOLAN,QWILFISH,QWILFISH,24,Dark,TRUE,Morn
,,70.1,ISLAND 1 AREA 6,PHANTUMP,PUMPKABOO,GREAVARD,CORVISQUIRE,MURKROW,ZORUA,MURKROW,HONCHKROW,PERSIAN_ALOLAN,PERSIAN_ALOLAN,QWILFISH,QWILFISH,24,Dark,TRUE,Day
,,70.2,ISLAND 1 AREA 6,PHANTUMP,PUMPKABOO,GREAVARD,CORVISQUIRE,MURKROW,ZORUA,MURKROW,HONCHKROW,PERSIAN_ALOLAN,PERSIAN_ALOLAN,QWILFISH,QWILFISH,24,Dark,TRUE,Night
,,71.0,ISLAND 1 AREA 7,DITTO,FLETCHINDER,MUNCHLAX,TINKATINK,MAGBY,ELEKID,TINKATUFF,TINKATUFF,EEVEE,EEVEE,RIOLU,RIOLU,24,Plain,TRUE,Morn
,,71.1,ISLAND 1 AREA 7,DITTO,FLETCHINDER,MUNCHLAX,TINKATINK,MAGBY,ELEKID,TINKATUFF,TINKATUFF,EEVEE,EEVEE,RIOLU,RIOLU,24,Plain,TRUE,Day
,,71.2,ISLAND 1 AREA 7,DITTO,FLETCHINDER,MUNCHLAX,TINKATINK,MAGBY,ELEKID,TINKATUFF,TINKATUFF,EEVEE,EEVEE,RIOLU,RIOLU,24,Plain,TRUE,Night
,,72.0,ISLAND 1 AREA 8,LITLEO,WOOPER_PALDEAN,TRANQUILL,LEDIAN,SNOVER,CLODSIRE,CHATOT,CHATOT,FARFETCHD_GALARIAN,FARFETCHD_GALARIAN,CAPSAKID,CAPSAKID,24,Plain,TRUE,Morn
,,72.1,ISLAND 1 AREA 8,LITLEO,WOOPER_PALDEAN,TRANQUILL,LEDIAN,SNOVER,CLODSIRE,CHATOT,CHATOT,FARFETCHD_GALARIAN,FARFETCHD_GALARIAN,CAPSAKID,CAPSAKID,24,Plain,TRUE,Day
,,72.2,ISLAND 1 AREA 8,LITLEO,WOOPER_PALDEAN,TRANQUILL,LEDIAN,SNOVER,CLODSIRE,CHATOT,CHATOT,FARFETCHD_GALARIAN,FARFETCHD_GALARIAN,CAPSAKID,CAPSAKID,24,Plain,TRUE,Night
,,73.0,Dark Cave 1,GASTLY,YAMASK_GALARIAN,HAUNTER,GIMMIGHOUL,LINOONE_GALARIAN,MIGHTYENA,RATICATE_ALOLAN,RATICATE_ALOLAN,SABLEYE,SABLEYE,CORSOLA_GALARIAN,CORSOLA_GALARIAN,26,Cave,TRUE,Morn
,,73.1,Dark Cave 1,GASTLY,YAMASK_GALARIAN,HAUNTER,GIMMIGHOUL,LINOONE_GALARIAN,MIGHTYENA,RATICATE_ALOLAN,RATICATE_ALOLAN,SABLEYE,SABLEYE,CORSOLA_GALARIAN,CORSOLA_GALARIAN,26,Cave,TRUE,Day
,,73.2,Dark Cave 1,GASTLY,YAMASK_GALARIAN,HAUNTER,GIMMIGHOUL,LINOONE_GALARIAN,MIGHTYENA,RATICATE_ALOLAN,RATICATE_ALOLAN,SABLEYE,SABLEYE,CORSOLA_GALARIAN,CORSOLA_GALARIAN,26,Cave,TRUE,Night
,,74.0,Dark Cave 2,GASTLY,ZIGZAGOON_GALARIAN,HAUNTER,WOBBUFFET,LINOONE_GALARIAN,MIGHTYENA,RATICATE_ALOLAN,RATICATE_ALOLAN,MAWILE,MAWILE,CORSOLA_GALARIAN,CORSOLA_GALARIAN,26,Cave,TRUE,Morn
,,74.1,Dark Cave 2,GASTLY,ZIGZAGOON_GALARIAN,HAUNTER,WOBBUFFET,LINOONE_GALARIAN,MIGHTYENA,RATICATE_ALOLAN,RATICATE_ALOLAN,MAWILE,MAWILE,CORSOLA_GALARIAN,CORSOLA_GALARIAN,26,Cave,TRUE,Day
