Script #,Script File,Used As,Headers Using,Text Archives,Script Count,Function Count,Action Count,Message Refs,Item Refs,Trainer Refs,Flag Refs,Top Commands,Total Commands,File Exists
158,0158,Script File,BOAT 03,261,2,9,10,0; 1; 2; 3; 4; 5; 6,,,235; 237; 538,End(20); JumpIf(12); Movement(11); CompareVarValue(10); ReleaseAll(10); WaitMovement(9); Message(9); CloseMessage(9); LockFollowingPoke(7); WaitFollowingPoke(7),196,Y
159,0159,Script File,BOAT 04,3,1,0,0,,,,,End(1),1,Y
160,0160,Script File,BOAT 05,3,1,0,0,,,,,End(1),1,Y
161,0161,Script File,BOAT 06,262,4,8,3,0; 1; 6; 7; 8,,,235; 534; 536; 554,End(11); SetFlag(7); CloseMessage(7); Message(6); CompareVarValue(5); JumpIf(5); WaitButton(5); ReleaseAll(5); PlayFanfare(4); Jump(4),87,Y
162,0162,Script File,BOAT 07,263,4,10,11,0; 1; 2; 6,,,237; 537,End(22); Movement(19); WaitMovement(11); CompareVarValue(10); JumpIf(10); Message(9); CloseMessage(9); ReleaseAll(9); FadeScreen(6); WaitFadeScreen(6),184,Y
168,0168,Script File,R01; RT 1 AREA 1,319,3,8,5,,,,393; 638,End(14); JumpIf(10); CompareVarValue(9); GetCommonMessageArchive(7); MessageFromArchive(7); Movement(7); CloseMessage(6); FadeScreen(6); WaitFadeScreen(6); WalkNorth8(6),144,Y
169,0169,Script File,RT 2 AREA 1; RT 2 AREA 2,320,1,0,0,,,,,SetIconBoard(1); ShowBoard(1); WaitBoard(1); CloseBoard(1); CommonScript(1); End(1),6,Y
172,0172,Script File,RADE 01 GV09,323,2,2,0,2; 3,,,309,CloseMessage(4); ReleaseAll(4); End(4); Message(3); WaitButton(3); PlayFanfare(2); LockAll(2); FacePlayer(2); JumpIf(2); SetVar(2),36,Y
175,0175,Script File,RT 3 AREA 1; RT 3 AREA 2,326,5,19,0,1; 2; 3; 4; 5,,,,Jump(18); CompareVarValue(15); JumpIf(15); Message(15); FadeScreen(14); WaitFadeScreen(14); PlayCry(14); LockFollowingPoke(12); SetDeoxysForm(8); SetFollowingPokePosition(7),210,Y
178,0178,Script File,RT 3 AREA 3,326,3,4,0,,,,164; 784,End(6); SetFlag(3); JumpIf(3); ClearFlag(2); ReleaseAll(2); CheckFlag(2); PlayFanfare(1); LockAll(1); FacePlayer(1); PlayCry(1),29,Y
179,0179,Script File,RT 3 AREA 4,329,2,0,0,0,,,,End(2); PlayFanfare(1); LockAll(1); FacePlayer(1); Message(1); WaitButton(1); CloseMessage(1); ReleaseAll(1); SetTextBoard(1); ShowBoard(1),14,Y
180,0180,Script File,MANSION A3; R05R0201,330,1,0,0,0,,,,PlayFanfare(1); LockAll(1); FacePlayer(1); Message(1); WaitButton(1); CloseMessage(1); ReleaseAll(1); End(1),8,Y
181,0181,Script File,R05R0202,331,2,6,1,0; 1; 2; 3; 4; 5; 6; 7; 8; 9,ITEM_RAGE_CANDY_BAR,,356,Message(17); CloseMessage(13); End(9); SetVar(9); JumpIf(8); CompareVarValue(7); WaitButton(7); ReleaseAll(7); SetFlag(3); OpenTouchScreen(2),102,Y
183,0183,Script File,R05R0401,333,2,2,0,0; 1; 2,,,305,Message(4); CloseMessage(4); ReleaseAll(4); End(4); WaitButton(3); PlayFanfare(2); LockAll(2); FacePlayer(2); JumpIf(2); SetVar(2),35,Y
184,0184,Script File,LOB FOREST 01; LOB FOREST 02; LOB FOREST 03; LOB FOREST 04; LOB FOREST 05; LOB FOREST 06; LOB FOREST 07; LOB FOREST 08; LOB FOREST 09,334,3,4,0,,,,164; 627,End(6); SetFlag(3); JumpIf(3); ClearFlag(2); ReleaseAll(2); CheckFlag(2); PlayFanfare(1); LockAll(1); FacePlayer(1); PlayCry(1),29,Y
185,0185,Script File,WLDA03 GV08,335,1,1,0,0; 1,,,280,Message(2); WaitButton(2); CloseMessage(2); ReleaseAll(2); End(2); PlayFanfare(1); LockAll(1); FacePlayer(1); CheckFlag(1); JumpIf(1),15,Y
186,0186,Script File,RT 4 AREA 1,336,3,4,0,,,,164; 629,End(6); SetFlag(3); JumpIf(3); ClearFlag(2); ReleaseAll(2); CheckFlag(2); PlayFanfare(1); LockAll(1); FacePlayer(1); PlayCry(1),29,Y
187,0187,Script File,R07R0101,337,1,1,0,0; 1,,,280,Message(2); WaitButton(2); CloseMessage(2); ReleaseAll(2); End(2); PlayFanfare(1); LockAll(1); FacePlayer(1); CheckFlag(1); JumpIf(1),15,Y
188,0188,Script File,RT 5 AREA 1; RT 5 AREA 2,338,2,20,0,,,,,CreateMultiTouchBox(30); CompareVarValue(30); JumpIf(30); FadeScreen(30); WaitFadeScreen(30); End(22); ReleaseAll(21); Warp(15); GetCommonMessageArchive(4); OpenTouchScreen(4),231,Y
190,0190,Script File,SUB PATH 1; SUB PATH 2; SUB PATH 3; SUB PATH 4; RT 5 AREA 3,340,1,0,0,,,,,SetIconBoard(1); ShowBoard(1); WaitBoard(1); CloseBoard(1); CommonScript(1); End(1),6,Y
191,0191,Script File,ROCK CAVE 01; RT 5 AREA 4,341,2,20,0,,,,,CreateMultiTouchBox(30); CompareVarValue(30); JumpIf(30); FadeScreen(30); WaitFadeScreen(30); End(22); ReleaseAll(21); Warp(15); GetCommonMessageArchive(4); OpenTouchScreen(4),231,Y
192,0192,Script File,R10PC0101,342,4,1,0,0; 1; 2; 3,,,280,End(5); PlayFanfare(4); LockAll(4); FacePlayer(4); Message(4); WaitButton(4); CloseMessage(4); ReleaseAll(4); SetVar(1); CommonScript(1),37,Y
193,0193,Script File,R10PC0102,3,1,0,0,,,,,End(1),1,Y
195,0195,Script File,R10R0201,344,9,3,0,3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15,,,289,Message(13); CloseMessage(13); WaitButton(12); ReleaseAll(12); End(12); PlayFanfare(9); LockAll(9); FacePlayer(7); JumpIf(4); CompareVarValue(2),113,Y
196,0196,Script File,R10R0202,345,10,6,9,0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19,ITEM_MACHINE_PART,,280; 288; 289; 596; 600; 601; 763; 764,End(25); Message(21); CloseMessage(19); ReleaseAll(16); WaitButton(15); PlayFanfare(10); LockAll(10); Movement(10); FacePlayer(9); JumpIf(7),232,Y
197,0197,Script File,-; ICE CAVE 01; RT 5 AREA 5; RT 6 AREA 1; RT 6 AREA 2; RT 6 AREA 3; RT 6 AREA 4,346,4,5,0,2; 3,,,164; 2456; 249; 371; 609,End(8); SetFlag(5); JumpIf(4); RemoveOW(4); CompareVarValue(3); ReleaseAll(3); Message(2); CloseMessage(2); CheckFlag(2); ShowBoard(2),57,Y
199,0199,Script File,STEEL CAVE 01; RT 7 AREA 1; RT 7 AREA 2; RT 7 AREA 3,348,6,14,6,2; 3,,,164; 249; 371; 393; 638; 795,End(22); JumpIf(14); CompareVarValue(12); Movement(9); CloseMessage(8); ReleaseAll(8); SetFlag(8); WalkNorth8(8); GetCommonMessageArchive(7); MessageFromArchive(7),203,Y
200,0200,Script File,HOME 57 SROD,349,1,2,0,0; 1; 2; 3,,,,Message(5); WaitButton(3); CloseMessage(3); ReleaseAll(3); End(3); CompareVarValue(2); JumpIf(2); SetVar(2); PlayFanfare(1); LockAll(1),31,Y
201,0201,Script File,ROCK CAVE 02; RT 8 AREA 1; RT 8 AREA 2; VOLTIC CAVE 4; RT 8 AREA 3; RT 8 AREA 4,144; 350,3,0,0,,,,,ShowBoard(3); WaitBoard(3); CommonScript(3); End(3); SetIconBoard(2); CloseBoard(2); SetTextBoard(1); BoardMessage(1),18,Y
202,0202,Script File,-; ICE CAVE 02; RT 9 AREA 1; RT 9 AREA 2; RT 9 AREA 3; RT 9 AREA 4; RT 9 AREA 5,351,1,0,0,,,,,End(1),1,Y
203,0203,Script File,STEEL CAVE 02; RT 10 AREA 1; RT 10 AREA 2,352,1,0,0,,,,,SetIconBoard(1); ShowBoard(1); WaitBoard(1); CloseBoard(1); CommonScript(1); End(1),6,Y
205,0205,Script File,RT 12 AREA 1; RT 12 AREA 2; RT 12 AREA 3,354,2,0,0,,,,329,End(2); CyclingRoad(1); SetFlag(1); SetTextBoard(1); ShowBoard(1); WaitBoard(1); BoardMessage(1); CommonScript(1),9,Y
207,0207,Script File,BIKE GATE 01,356,4,2,2,0; 1,,,329,End(8); SetVar(4); ReleaseAll(3); CyclingRoad(3); LockAll(2); Message(2); CloseMessage(2); JumpIf(2); Movement(2); WaitMovement(2),47,Y
209,0209,Script File,BIKE ROAD TOP,357,2,0,0,,,,,CyclingRoad(2); End(2),4,Y
210,0210,Script File,RT 11 AREA 1; RT 11 AREA 2; RT 11 AREA 3; RT 11 AREA 4; RT 11 AREA 5,358,2,0,0,,,,,End(2); SetIconBoard(1); ShowBoard(1); WaitBoard(1); CloseBoard(1); CommonScript(1),7,Y
211,0211,Script File,BIKE GATE 02,359,4,2,2,0; 1,,,329,End(8); SetVar(4); ReleaseAll(3); CyclingRoad(3); LockAll(2); Message(2); CloseMessage(2); JumpIf(2); Movement(2); WaitMovement(2),47,Y
212,0212,Script File,-,360,5,11,30,2; 3; 4; 5; 6; 7; 8; 9; 10,,,393; 638; 769; 771; 785,End(43); Movement(38); WaitMovement(26); CloseMessage(22); WalkNorth8(16); JumpIf(12); CompareVarValue(11); Message(9); FadeScreen(9); WaitFadeScreen(9),390,Y
215,0215,Script File,-,362,5,12,8,0; 2; 3; 4; 5; 6; 7; 8; 9,,,597; 599,End(18); Movement(10); Message(9); ReleaseAll(8); CompareVarValue(7); JumpIf(7); Jump(7); CloseMessage(7); FacePlayer(5); LockAll(4),137,Y
216,0216,Script File,-,363,10,42,26,0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 13; 14; 16; 17; 18; 19,,,164; 290; 373; 393; 595; 598; 673; 674; 684; 690; 717; 777,End(57); JumpIf(46); CompareVarValue(42); Movement(42); Message(25); CloseMessage(21); Jump(20); ReleaseAll(20); SetFlag(17); WaitMovement(16),540,Y
218,0218,Script File,ULURU 1 A1; ULURU 1 A2; ULURU 1 A3,365,4,8,5,,,,393; 638,End(15); JumpIf(9); CompareVarValue(8); GetCommonMessageArchive(7); MessageFromArchive(7); Movement(7); CloseMessage(6); FadeScreen(6); WaitFadeScreen(6); WalkNorth8(6),149,Y
219,0219,Script File,RADE 07 HS31,366,2,0,0,0; 1; 2,,,,Message(3); CloseMessage(3); PlayFanfare(2); LockAll(2); FacePlayer(2); FadeScreen(2); WaitFadeScreen(2); WaitButton(2); ReleaseAll(2); End(2),27,Y
220,0220,Script File,RT 9 HS32,367,1,1,0,0; 1; 2,,,,Message(3); CloseMessage(3); OpenTouchScreen(2); YesNoTouchScreen(2); CloseTouchScreen(2); CompareVarValue(2); JumpIf(2); ReleaseAll(2); End(2); PlayFanfare(1),24,Y
221,0221,Script File,RT 14 AREA 1; RT 14 AREA 5; RT 14 AREA 6; RT 14 AREA 2; RT 14 AREA 3; RT 14 AREA 4,369,5,4,4,0; 1,,,360,End(11); Message(4); CloseMessage(4); Movement(4); WaitButton(3); ReleaseAll(3); WaitMovement(3); JumpIf(3); WalkWest8(3); LockAll(2),65,Y
222,0222,Script File,HOTEL 2 HS33,370,1,3,0,0; 1; 2; 3,,,233,Message(5); CloseMessage(4); ReleaseAll(4); End(4); JumpIf(3); WaitButton(3); CompareVarValue(2); SetVar(2); CommonScript(2); PlayFanfare(1),37,Y
223,0223,Script File,RT 19 AREA 1; RT 19 AREA 2; RT 19 AREA 3,371,2,0,0,,,,,End(2); SetVar(1); SetIconBoard(1); ShowBoard(1); WaitBoard(1); CloseBoard(1); CommonScript(1),8,Y
224,0224,Script File,DALI 10 HS54,372,3,10,5,0; 1; 2; 3,,,311,End(11); JumpIf(10); Movement(10); CompareVarValue(9); Message(8); Jump(7); CloseMessage(5); ReleaseAll(5); WaitMovement(5); SetVar(5),107,Y
225,0225,Script File,ULURU 2 A1; ULURU 2 A2,373,9,43,56,2; 9; 10; 11; 12; 13; 14,,,154; 216; 2748; 420; 421; 519,End(75); Movement(63); WalkWest8(54); CompareVarValue(35); JumpIf(35); WalkEast8(34); Jump(32); WalkSouth8(32); Delay8(20); CloseMessage(18),611,Y
226,0226,Script File,MELT 12 GV03,375,3,0,0,0; 1,,,,End(3); PlayFanfare(2); LockAll(2); FacePlayer(2); Message(2); WaitButton(2); CloseMessage(2); ReleaseAll(2),17,Y
227,0227,Script File; Level Script File,RT 13 AREA 1; RT 13 AREA 2; RT 13 AREA 3; RT 13 AREA 4; RT 13 AREA 5; RT 13 AREA 6; RT 13 AREA 7; SHREDSNOW TMP,54; 375,11,5,11,0; 1; 2; 3; 4; 5; 6; 8; 13,,,107; 109; 167; 238; 591,End(24); SetVar(14); Movement(13); Message(11); WaitMovement(11); CloseMessage(9); ReleaseAll(8); CommonScript(8); LockAll(7); PlayFanfare(6),211,Y
228,0228,Script File,LOBA 05 HS09,376,1,1,0,0; 2; 3,,,109,Message(3); SetVar(3); WaitButton(2); CloseMessage(2); ReleaseAll(2); End(2); PlayFanfare(1); LockAll(1); FacePlayer(1); CheckFlag(1),21,Y
230,0230,Script File,ULURU 3 A1; ULURU 3 A2,378,6,21,4,0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 15,,,,JumpIf(25); CompareVarValue(22); End(19); Message(19); SetVar(17); CloseMessage(14); Jump(12); ReleaseAll(12); WaitButton(11); FadeScreen(8),237,Y
231,0231,Script File,MELT 13 GH01,379,3,16,29,0,,,,Movement(44); End(34); CompareVarValue(18); JumpIf(18); WalkWest8(18); WaitMovement(16); Jump(14); WalkWest4(14); SetInvisible(13); GenderMessage(9),312,Y
232,0232,Script File,UNDARA AREA 1; UNDARA AREA 2; UNDARA AREA 3; UNDARA AREA 4,380,2,20,0,,,,,CreateMultiTouchBox(30); CompareVarValue(30); JumpIf(30); FadeScreen(30); WaitFadeScreen(30); End(22); ReleaseAll(21); Warp(15); GetCommonMessageArchive(4); OpenTouchScreen(4),231,Y
233,0233,Script File,SYDT 02 PC05,381,4,8,0,0; 3; 4; 5; 6; 7; 8; 9; 10; 11,,,117; 372,End(11); Message(11); CloseMessage(9); ReleaseAll(9); JumpIf(8); SetVar(7); WaitButton(7); CommonScript(6); CompareVarValue(6); PlayFanfare(3),98,Y
234,0234,Script File,SYDT 03 PCR05,3,1,0,0,,,,,End(1),1,Y
235,0235,Script File,DANB 01 GH02,382,4,0,0,0; 1; 2,,,,End(4); PlayFanfare(3); LockAll(3); FacePlayer(3); Message(3); WaitButton(3); CloseMessage(3); ReleaseAll(3),25,Y
236,0236,Script File,PRIMAL CAVE 1; -,383,2,0,0,0,,,,End(2); PlayFanfare(1); LockAll(1); FacePlayer(1); Message(1); WaitButton(1); CloseMessage(1); ReleaseAll(1); SetIconBoard(1); ShowBoard(1),14,Y
237,0237,Script File,SHALLOW C 1; SHALLOW C 2; SHALLOW C 3; SHALLOW C 4,384,13,48,46,18; 19; 21; 22; 23; 24; 26; 27; 28; 30; 32; 46; 47; 48; 49,,,393; 465; 466; 638,Movement(77); End(74); JumpIf(50); CompareVarValue(48); WaitMovement(39); Jump(33); CloseMessage(33); Message(23); ReleaseAll(22); WalkNorth8(20),753,Y
238,0238,Script File,BAIR 05 DCARE,385,2,2,16,,,,557,Movement(22); End(19); GenderMessage(13); WaitMovement(12); CloseMessage(11); Delay8(7); RemoveOW(4); WalkSouth8(4); TextPlayerName(3); WalkNorth8(3),151,Y
239,0239,Script File,SYDT 06 GV06,386,3,2,0,0; 2; 3; 4,,,131,Message(4); CloseMessage(4); ReleaseAll(4); End(4); PlayFanfare(3); LockAll(3); FacePlayer(3); WaitButton(3); JumpIf(2); SetVar(2),42,Y
240,0240,Script File,RT 15 AREA 1; SKY PILLAR 01,387,5,10,5,21,,,393; 461; 462; 638,End(17); JumpIf(14); CompareVarValue(13); ClearFlag(8); CloseMessage(7); GetCommonMessageArchive(7); MessageFromArchive(7); Movement(7); SetFlag(7); WaitButton(6),176,Y
241,0241,Script File,LOBA 07 GV01,388,2,12,0,0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 13; 14; 15; 16,,,138; 181,Message(17); JumpIf(13); CloseMessage(13); ReleaseAll(13); End(13); WaitButton(12); CompareVarValue(10); SetVar(6); CheckFlag(3); PlayFanfare(2),123,Y
243,0243,Script File,ULURU 4 A1; ULURU 4 A2; ULURU 4 A3,390,11,35,10,0; 1; 2; 3; 5; 7; 8; 13; 14; 15; 16; 17; 18,ITEM_SQUIRT_BOTTLE,,164; 177; 180; 181; 2748; 361; 450; 452; 463; 464,End(42); JumpIf(36); CompareVarValue(35); Message(23); ReleaseAll(22); Movement(20); CloseMessage(20); WaitMovement(18); SetVar(16); SetFlag(15),429,Y
244,0244,Script File,MELT 11 GV02,391,3,0,0,0; 1,,,,End(3); PlayFanfare(2); LockAll(2); FacePlayer(2); Message(2); WaitButton(2); CloseMessage(2); ReleaseAll(2),17,Y
246,0246,Script File,SPEAR PLR 1; SPEAR PLR 2,393,4,10,0,,,,165; 2748; 451,End(11); MessageFromArchive(9); JumpIf(8); GetCommonMessageArchive(8); CloseMessage(7); ReleaseAll(7); CompareVarValue(6); WaitButton(6); CommonScript(4); GetDayOfWeek(3),99,Y
247,0247,Script File,RT 18 AREA 1; RT 18 AREA 2; RT 18 AREA 3; RT 18 AREA 4,394,3,0,0,,,,,End(3); ShowBoard(2); WaitBoard(2); CommonScript(2); SetIconBoard(1); CloseBoard(1); SetTextBoard(1); BoardMessage(1),13,Y
248,0248,Script File,TROO 01 GH 09,395,2,0,0,0,,,,End(2); PlayFanfare(1); LockAll(1); FacePlayer(1); Message(1); WaitButton(1); CloseMessage(1); ReleaseAll(1),9,Y
249,0249,Script File,HAUNT AREA 1; HAUNT AREA 2; HAUNT AREA 3; HAUNT AREA 4; HAUNT AREA 5,396,8,26,13,3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14,,,354; 393; 550; 552; 638; 788,JumpIf(32); End(30); CompareVarValue(29); Message(21); Movement(18); Jump(17); CloseMessage(14); ReleaseAll(11); ClearFlag(11); WaitButton(9),372,Y
252,0252,Script File,MANSION A1; MANSION A2,399,6,10,19,5; 6; 7; 8; 9,,,669; 670; 671; 675,End(26); Movement(22); WaitMovement(14); CompareVarValue(9); JumpIf(9); Jump(9); SetVar(9); WalkWest8(9); CommonScript(8); Message(7),234,Y
254,0254,Script File,RT 17 AREA 1; RT 17 AREA 2; RT 17 AREA 3; RT 17 AREA 4; RT 17 AREA 5; RT 17 AREA 6; RT 17 AREA 7; RT 17 AREA 8,401,4,0,0,,,,,End(4); ShowBoard(3); WaitBoard(3); CommonScript(3); SetIconBoard(2); CloseBoard(2); SetTextBoard(1); BoardMessage(1),19,Y
255,0255,Script File,DANB 09 GV04,402,1,1,0,0; 1,,,202,Message(2); WaitButton(2); CloseMessage(2); ReleaseAll(2); End(2); PlayFanfare(1); LockAll(1); FacePlayer(1); CheckFlag(1); JumpIf(1),15,Y
256,0256,Script File,WLDA01 GV07,403,4,10,8,0; 1; 2; 3; 4; 6,,,202; 206,End(16); Message(10); CloseMessage(8); Movement(8); JumpIf(6); Jump(6); SetVar(5); WaitButton(4); ReleaseAll(4); CompareVarValue(4),130,Y
258,0258,Script File,UNDARA CAVE 3; UNDARA CAVE 4,405,5,7,4,0,,,393; 638,End(15); JumpIf(8); GetCommonMessageArchive(7); MessageFromArchive(7); CompareVarValue(7); CloseMessage(7); WaitButton(6); ReleaseAll(6); FadeScreen(6); WaitFadeScreen(6),146,Y
259,0259,Script File,UNDARA CAVE 2,406,3,1,0,2; 3,,,121,End(4); Message(2); WaitButton(2); CloseMessage(2); ReleaseAll(2); ShowBoard(2); WaitBoard(2); CommonScript(2); PlayFanfare(1); LockAll(1),27,Y
266,0266,Level Script File,WELL CAVE F3,47,0,0,0,,,,,,0,Y
267,0267,Level Script File,RADE F2 LIBRY; D02FS0101,48; 62,0,0,0,,,,,,0,Y
268,0268,Level Script File,NAVEL WEST 04,49,0,0,0,,,,,,0,Y
269,0269,Level Script File,AZELF DEN,144,0,0,0,,,,,,0,Y
270,0270,Level Script File,D HQ1 F1,50,0,0,0,,,,,,0,Y
271,0271,Level Script File,D HQ1 F2,51,0,0,0,,,,,,0,Y
272,0272,Level Script File,D HQ1 F3,51,0,0,0,,,,,,0,Y
273,0273,Level Script File,ICE PATH C1; ICE PATH C2,52,0,0,0,,,,,,0,Y
274,0274,Level Script File,UXIE DEN,144,0,0,0,,,,,,0,Y
275,0275,Level Script File,MESPIRIT DEN; D11R0105,3; 144,0,0,0,,,,,,0,Y
276,0276,Level Script File,D HQ1 F4; D11R0106,53,0,0,0,,,,,,0,Y
277,0277,Level Script File,D HQ1 F5,53,0,0,0,,,,,,0,Y
278,0278,Level Script File,SWORD TRIO,55,0,0,0,,,,,,0,Y
279,0279,Level Script File,D HQ1 F6; MOLTEN CAVERN,56,0,0,0,,,,,,0,Y
280,0280,Level Script File,HO-OH TWR F1,57,0,0,0,,,,,,0,Y
281,0281,Level Script File,RADE F1 LIBRY,48,0,0,0,,,,,,0,Y
282,0282,Level Script File,HO-OH TWR TOP,58,0,0,0,,,,,,0,Y
283,0283,Level Script File,D17R1101,59,0,0,0,,,,,,0,Y
284,0284,Level Script File,D18R0101; BURNT TWR F1,60,0,0,0,,,,,,0,Y
285,0285,Level Script File,BURNT TWR F2,61,0,0,0,,,,,,0,Y
286,0286,Level Script File,RADE F3 LIBRY,71,0,0,0,,,,,,0,Y
287,0287,Level Script File,HOTEL 2 F1; D22R0102,63,0,0,0,,,,,,0,Y
289,0289,Level Script File,SYDT 01 GV05,64,0,0,0,,,,,,0,Y
290,0290,Level Script File,A HQ1 F1; -; D HQ1 F1,65,0,0,0,,,,,,0,Y
291,0291,Level Script File,A HQ1 F2; D HQ1 F2,66,0,0,0,,,,,,0,Y
292,0292,Level Script File,A HQ1 F3; D HQ1 F3,67,0,0,0,,,,,,0,Y
293,0293,Level Script File,A HQ1 F4; D HQ1 F4,68,0,0,0,,,,,,0,Y
294,0294,Level Script File,A HQ1 F5; D HQ1 F5,69,0,0,0,,,,,,0,Y
295,0295,Level Script File,A HQ1 F6; D HQ1 F6,70,0,0,0,,,,,,0,Y
296,0296,Level Script File,VICTRY RD 1 1; VICTRY RD 1 2; VICTRY RD 1 3; VICTRY RD 1 4; VICTRY RD 1 5,102,0,0,0,,,,,,0,Y
298,0298,Level Script File,GBR 01,72,0,0,0,,,,,,0,Y
299,0299,Level Script File,VICTRY RD 2 1,73,0,0,0,,,,,,0,Y
300,0300,Level Script File,VICTRY RD 2 2,74,0,0,0,,,,,,0,Y
301,0301,Level Script File,VICTRY RD 2 3,74,0,0,0,,,,,,0,Y
302,0302,Level Script File,VICTRY RD 2 4,75,0,0,0,,,,,,0,Y
303,0303,Level Script File,VICTRY RD 2 5,75,0,0,0,,,,,,0,Y
304,0304,Level Script File,VICTRY RD 3 1; VICTRY RD 3 2,76,0,0,0,,,,,,0,Y
305,0305,Level Script File,VICTRY RD 4 1; VICTRY RD 4 2; VICTRY RD 4 3; VICTRY RD 4 4; VICTRY RD 4 5; VICTRY RD 4 6; VICTRY RD 4 7,77,0,0,0,,,,,,0,Y
306,0306,Level Script File,RADE HQ #####,366,0,0,0,,,,,,0,Y
309,0309,Level Script File,NAVEL WEST 03,79,0,0,0,,,,,,0,Y
310,0310,Level Script File,RT 20 AREA 1; RT 20 AREA 2; RT 20 AREA 3; RT 20 AREA 4; RT 20 AREA 5; RT 20 AREA 6; RT 20 AREA 7; RT 20 AREA 8; RT 20 AREA 9; RT 20 AREA 10; RT 20 AREA 11; RT 20 AREA 12; RT 20 AREA 13,80,0,0,0,,,,,,0,Y
312,0312,Level Script File,TROOME CAVE 1; TROOME CAVE 2; TROOME CAVE 3,82,0,0,0,,,,,,0,Y
313,0313,Level Script File,HOTEL 1 BS,83,0,0,0,,,,,,0,Y
314,0314,Level Script File,D24R0216,84,0,0,0,,,,,,0,Y
315,0315,Level Script File,ICE PATH C3; D24R0217,52; 85,0,0,0,,,,,,0,Y
316,0316,Level Script File,D24R0218,86,0,0,0,,,,,,0,Y
317,0317,Level Script File,NAVEL WEST 01,87,0,0,0,,,,,,0,Y
318,0318,Level Script File,NAVEL WEST 02,88,0,0,0,,,,,,0,Y
319,0319,Level Script File,SUBTRN CAVE,89,0,0,0,,,,,,0,Y
320,0320,Level Script File,WELL CAVE F1,90,0,0,0,,,,,,0,Y
321,0321,Level Script File,WELL CAVE F2,91,0,0,0,,,,,,0,Y
322,0322,Level Script File,WELL CAVE F4,92,0,0,0,,,,,,0,Y
323,0323,Level Script File,LIGHT H 01 F1,93,0,0,0,,,,,,0,Y
324,0324,Level Script File,LIGHT H 01 F3,3,0,0,0,,,,,,0,Y
325,0325,Level Script File,LIGHT H 01 F5,3,0,0,0,,,,,,0,Y
326,0326,Level Script File,LIGHT H 01 F6,3,0,0,0,,,,,,0,Y
327,0327,Level Script File,LIGHT H 01 F7,94,0,0,0,,,,,,0,Y
328,0328,Level Script File,LIGHT H 01 EL,95,0,0,0,,,,,,0,Y
338,0338,Level Script File,D32FS0101,101,0,0,0,,,,,,0,Y
339,0339,Level Script File,REGIGIGAS TMP; D32PC0101,54; 102,0,0,0,,,,,,0,Y
340,0340,Level Script File,D32PC0102,3,0,0,0,,,,,,0,Y
343,0343,Level Script File,WILD AREA,105,0,0,0,,,,,,0,Y
353,0353,Level Script File,SYD FOREST 01; SYD FOREST 02; SYD FOREST 03; SYD FOREST 04; SYD FOREST 05; SYD FOREST 06; SYD FOREST 07; SYD FOREST 08,115,0,0,0,,,,,,0,Y
356,0356,Level Script File,DEPART 1 B1,118,0,0,0,,,,,,0,Y
359,0359,Level Script File,REGIDRACO DEN,121,0,0,0,,,,,,0,Y
360,0360,Level Script File,LOBART CAVERN,122,0,0,0,,,,,,0,Y
361,0361,Level Script File,SANDSTONE COV,3,0,0,0,,,,,,0,Y
362,0362,Level Script File,FLORAL FISURE,123,0,0,0,,,,,,0,Y
364,0364,Level Script File,NAVEL WEST 05; SPARK ROAR C,124,0,0,0,,,,,,0,Y
365,0365,Level Script File,LUGIA DEN 01,125,0,0,0,,,,,,0,Y
367,0367,Level Script File,D41R0105,3,0,0,0,,,,,,0,Y
368,0368,Level Script File,D41R0108,126,0,0,0,,,,,,0,Y
369,0369,Level Script File,NAVEL EAST 01,127,0,0,0,,,,,,0,Y
370,0370,Level Script File,RELIC RUIN F3; RELIC RUIN F2; RELIC RUIN F1,588,0,0,0,,,,,,0,Y
372,0372,Level Script File,REGIELECT DEN,129,0,0,0,,,,,,0,Y
373,0373,Level Script File,DRAGON DEN 02,130,0,0,0,,,,,,0,Y
377,0377,Level Script File,MANSION A5,133,0,0,0,,,,,,0,Y
378,0378,Level Script File,D47PC0101,134,0,0,0,,,,,,0,Y
379,0379,Level Script File,D47PC0102,3,0,0,0,,,,,,0,Y
381,0381,Level Script File,HOTEL 1 F3,502,0,0,0,,,,,,0,Y
382,0382,Level Script File,MANSION A4,136,0,0,0,,,,,,0,Y
384,0384,Level Script File,SEWER ROOM 04,138,0,0,0,,,,,,0,Y
390,0390,Level Script File,VOLTIC CAVE 1; VOLTIC CAVE 2; VOLTIC CAVE 3; VOLTIC CAVE 4; VOLTIC CAVE 5; VOLTIC CAVE 6,144,0,0,0,,,,,,0,Y
391,0391,Level Script File,D51R0101,145,0,0,0,,,,,,0,Y
392,0392,Level Script File,D51R0201,146,0,0,0,,,,,,0,Y
393,0393,Level Script File,D51R0301,147,0,0,0,,,,,,0,Y
394,0394,Level Script File,GROUDON DEN; D52R0101,148,0,0,0,,,,,,0,Y
