,Decomp Names,DSPRE Names,Parameters,Function
0125,give_running_shoes,GiveShoes,,Gives the running shoes to the player 
0126,check_badge,CheckBadge,Flex: Badge ID; Var: Variable,"Checks if player has Badge ID badge, stores result in Variable "
0127,give_badge,GiveBadge,Flex: Badge ID,Gives the player Badge ID badge 
0128,count_badges,CountBadges,Var: Variable,Stores in Variable the number of badges obtained 
0129,scrcmd_297,DummyCheckBag,Var: Variable,"Stores 1 in Variable if flag 0x960 is set, stores 0 otherwise "
012A,scrcmd_298,DummyGiveBag,,Sets flag 0x960 
012B,check_escort_mode,CheckPartner,Var: Variable,"Stores 1 in Variable if the following event flag is activated, stores 0 otherwise "
012C,set_escort_mode,SetPartner,,"Activates the following event flag, so you can no longer use the bike, surf, rock climb... "
012D,clear_escort_mode,ClearPartner,,"Deactivates the following event flag, so you can use the bike, surf, rock climb... again "
012E,scrcmd_302,CheckStepFlag,,
012F,scrcmd_303,SetStepFlag,,
0130,scrcmd_304,ClearStepFlag,,
0131,scrcmd_305,DummyCheckGameCompleted,Var: Variable,"Stores 1 in Variable if flag 0x964 is set, stores 0 otherwise "
0132,scrcmd_306,DummyGameCompleted,,Sets flag 0x964 
0133,scrcmd_307,DoorAnimation,u16: Matrix X; u16: Matrix Y; Flex: Map X; Flex: Map Y; u8: Door ID,"Prepares a building located at Map X and Map Y coordinates in a map located at Matrix X and Matrix Y in the current matrix for animation, with Door ID animation ID "
0134,scrcmd_308,WaitDoor,u8: Door ID,Wait animation of building with Door ID animation ID 
0135,scrcmd_309,FreeDoor,u8: Door ID,Free animation of building with Door ID animation ID 
0136,scrcmd_310,OpenDoor,u8: Door ID,Triggers first animation of building with Door ID animation ID 
0137,scrcmd_311,CloseDoor,u8: Door ID,Triggers second animation of building with Door ID animation ID 
0138,buffer_day_care_mon_nicks,GetDaycareNames,,"Stores first daycare Pokémon nickname in string buffer 0, the second daycare Pokémon nickname in string buffer 1 and the first Pokémon trainer's name in buffer 2 "
0139,get_day_care_state,GetDaycareStatus,Var: Variable,"If daycare Pokémon have an egg, stores 1 in Variable. Otherwise it stores 0 if no Pokémon is in the daycare, 2 if only one Pokémon is in the daycare or 3 if there are two Pokémon "
013A,ecruteak_gym_init,InitEcruteakGym,,
013B,scrcmd_315,CMD_315,,"??? Something to do with the Goldenrod Dept. Store Basement, probably moving around blocks or opening access to doors. "
013C,scrcmd_316,CMD_316,,In 953 trainer scripts. 
013D,scrcmd_317,CMD_317,,In 953 trainer scripts. 
013E,cianwood_gym_init,CianwoodGymInit,,
013F,cianwood_gym_turn_winch,CianwoodGymTurnWinch,,
0140,vermilion_gym_init,VermilionGymInit,,
0141,vermilion_gym_lock_action,VermillionGymAnimation,,
0142,vermilion_gym_can_check,VermillionGymBin,,
0143,resample_vermilion_gym_cans,ResetVermilionGymCans,,
0144,violet_gym_init,InitVioletGym,,Initializes Violet Gym internal data and 3D model animations 
0145,violet_gym_elevator,VioletGymElevator,,Triggers model #111 to move up or down 
0146,azalea_gym_init,InitAzaleaGym,,
0147,azalea_gym_spinarak,AzaleaGym,,
0148,azalea_gym_switch,AzaleaGym2,,
0149,blackthorn_gym_init,BlackthornGymInit,,
014A,fuchsia_gym_init,FuchsiaGymInit,,
014B,viridian_gym_init,ViridianGymInit,,
014C,get_party_count,GetPartyCount,Var: Variable,Stores in Variable the current number of Pokémon in the party 
014D,scrcmd_333,BagScreen,u8: Bag Pocket,Opens up the Bag screen with the user only being able to select an item from the specified pocket. WARNING: this command is nonfunctional after opening the Bag -- you will be unable to select anything. 
014E,scrcmd_334,BagScreenSelection,,
014F,scrcmd_335,CheckPocketItems,,
0150,buffer_berry_name,DummyTextBerry,,
0151,buffer_nature_name,TextNature?,,
0152,move_person,SetOWDefaultPosition,Flex: Event ID; Flex: X; Flex: Y,Sets Event ID spawn position to global coords X and Y 
0153,move_person_facing,SetOWPosition,Flex: Event ID; Flex: X; Flex: Z; Flex: Y; Flex: Dir,"Moves Event ID to global coords X, Y, Z with Dir direction "
0154,set_object_movement_type,SetOWDefaultMovement,Flex: Event ID; Flex: Movement ID,Sets Event ID's default move code to Movement ID 
0155,set_object_facing,SetOWDefaultDirection,Flex: Event ID; Flex: Direction,Sets Event ID's default direction to Direction ID 
0156,move_warp,SetWarpPosition,Flex: Warp ID; Flex: X; Flex: Y,Moves Warp ID to global coords X and Y 
0157,move_bg_event,SetSpawnablePosition,Flex: Spawnable ID; Flex: X; Flex: Y,Moves Spawnable ID to global coords X and Y 
0158,scrcmd_344,SetOWDirection,Flex: Event ID; Flex: Direction,Sets Event ID's current direction to Direction ID 
0159,add_waiting_icon,AddWaitingIcon,,
015A,remove_waiting_icon,RemoveWaitingIcon,,
015B,scrcmd_347,ReturnScriptWkSet,,
015C,wait_button_or_delay,WaitTimeOrAB,Flex: Time,Stops script execution until Time frames have passed or until user presses A or B buttons 
015D,party_select_ui,ChoosePokemonSelection,,Opens up the UI to select a Pokémon from the party 
015E,scrcmd_350,UnionChoosePKMNSelection,,
015F,get_party_selection,GetSelectedPartySlot,Var: Variable,"Stores in Variable the selected party slot in a party Pokémon screen, or 0xFF is user cancelled the selection "
0160,pokemon_summary_screen,PokemonSummaryScreen,u8: Menu; Flex: Party Slot; Flex: Move,"If Menu is 1, open the summary screen on the learn/forget move UI; otherwise, open the Pokemon summary screen "
0161,get_move_selection,GetMoveSelection,u8: ???; Var: Variable,Returns the selected move slot to Variable. Returns 4 if the player cancels 
0162,get_partymon_species,GetPartyPokemonID,Var: Party Position; Var: Variable,Stores in Variable the ID of the Pokémon at Party Position 
0163,partymon_is_mine,CheckTradedPokemon,Var: Party Position; Var: Variable,"Stores 0 in Variable if trainer ID and secret ID of the Pokémon at Party Position are the player's ones, stores 1 otherwise "
0164,party_count_not_egg,CountPartyBornPokemon,Var: Variable,"Stores in Variable the number of Pokémon in the Pokémon party, excluding the eggs "
0165,count_alive_mons,CountAlivePokemonExceptFirst,Var: Variable; Flex: Party Position,"Stores in Variable how many alive Pokémon are in the party, except for the chosen Party Position "
0166,count_alive_mons_and_pc,CountTotalAlivePokemon,Var: Variable,"Stores in Variable the number of Pokémon in the Pokémon party and PC boxes, excluding the eggs and fainted Pokémon "
0167,party_count_egg,CountPartyEggs,Var: Variable,Stores in Variable the number of eggs in the Pokémon party 
0168,submoneyvar,TakeMoneyFlex,Flex: Money,Subtracts Money from the player's money 
0169,retrieve_day_care_mon,RetrieveDayCareMon,,
016A,give_loan_mon,GiveLoanPokemon,u8: Pokémon; u8: Level; u16: Header,Gives you Pokémon at Level with Header name on the summary screen. Used for NPC-given Pokémon 
016B,check_return_loan_mon,CheckReturnLoanPokemon,,
016C,return_loan_mon,DeletePartyPokemon,Flex: Party Position,Deletes the Pokémon at Party Position from the party 
016D,reset_day_care_egg,RemoveDayCareEgg,,
016E,give_day_care_egg,GiveDayCareEgg,,
016F,buffer_day_care_withdraw_cost,TextDayCareCost,,
0170,hasenoughmoneyvar,CompareMoneyFlex,Var: Variable; Flex: Money,"Returns 1 to Variable if the player has Money or more money, returns 0 otherwise "
0171,egg_hatch_anim,EggHatchScreen,,Opens the egg hatching screen with an egg in the Pokémon party that has 0 steps left for hatching 
0172,scrcmd_370,CMD_370,,
0173,buffer_day_care_mon_growth,CheckDaycareLevelGain,Var: Variable; Flex: Position,Stores the amount of levels a Pokémon in the Daycare has gained from being in the Daycare 
0174,get_tail_day_care_mon_species_and_nick,GetDayCareSpeciesandNick,,
0175,put_mon_in_day_care,GiveDayCareMon,,
0176,scrcmd_374,UnvanishOverworld,Flex: Event ID,Makes Event ID visible again if it was invisible 
0177,make_object_visible,VanishOverworld,Flex: Event ID,"Makes Event ID invisible, but still collisionable "
0178,scrcmd_376,MailScreen,,Opens the mail screen 
0179,scrcmd_377,CountMail,Var: Variable,Stores in Variable the current amount of mails in the mailbox 
017A,view_rankings,RankingView,,
017B,scrcmd_379,GetTimePeriod,Var: Variable,Stores in Variable the current time period of the day 
017C,random,GetRandom,Var: Variable; Flex: Range,"Generates a random number between 0 and Range - 1, and stores it in Variable "
017D,scrcmd_381,DummyGetRandom,Var: Variable; Flex: Range,"Generates a random number between 0 and Range - 1, and stores it in Variable "
017E,mon_get_friendship,GetPokemonHappiness,Var: Variable; Flex: Party Position,Stores in Variable the happiness of Pokémon in Party Position 
017F,mon_add_friendship,AddHappiness,Flex: Happiness; Flex: Party Position,Adds Happiness to the happiness of Pokémon in Party Position 
0180,mon_subtract_friendship,SubHappiness,Flex: Happiness; Flex: Party Position,Subs Happiness to the happiness of Pokémon in Party Position 
0181,buffer_day_care_mon_stats,TextDaycareMonData,,
0182,get_player_facing,GetPlayerDirection,Var: Variable,Stores in Variable the direction the player is looking at 
0183,get_day_care_compatibility,GetDayCareMonCompatibility,,
0184,check_day_care_egg,CheckDayCareEgg,,
0185,player_has_species,CheckBornPokemonInParty,Flex: Variable; Var: Pokémon,"Stores 1 in Variable if Pokémon is currently in the Pokémon party, stores 0 otherwise "
0186,size_record_compare,ComparePokemonPlayerSize,Var: Variable; Flex: Party Position,"Stores 0 in Variable if Pokémon at Party Position does not have a bigger relative size than player's record, stores 1 if it's the same size and stores 2 if it has a bigger relative size "
0187,size_record_update,SetPokemonSizeRecord,Flex: Party Position,Stores the relative size of Pokémon at Party Position as player's record 
0188,buffer_mon_size,TextPartyPokemonSize,Flex: Integer String Buffer; Flex: Decimal String Buffer; Flex: Party Position,Stores the Integer part of Pokémon at Party Position size in Integer String Buffer (1 to 3 digits) and the decimal part of the size in Decimal String Buffer (1 digit) 
0189,buffer_record_size,TextPokemonRecordSize,Flex: Integer String Buffer; Flex: Decimal String Buffer; Flex: Pokémon ID,"Stores the Integer part of player's record size, normalized to Pokémon ID range, in Integer String Buffer (1 to 3 digits) and the decimal part of the size in Decimal String Buffer (1 digit) "
018A,scrcmd_394,CMD_394,,
018B,scrcmd_395,CMD_395,,
018C,count_mon_moves,GetMoveCount,Var: Variable; Flex: Party Position,Stores in Variable the total amount of moves that the Pokémon at Party Position currently has 
018D,mon_forget_move,DeleteMove,Flex: Party Position; Flex: Move Slot,Deletes the move in Move Slot from the Pokémon at Party Position 
018E,mon_get_move,GetPartyPokemonMove,Var: Variable; Flex: Party Position; Flex: Move Slot,Stores in Variable the ID of the move in Move Slot from the Pokémon at Party Position 
018F,buffer_party_mon_move_name,TextPartyPokemonMove,u8: String Buffer; Flex: Party Position; Flex: Move Slot,Stores the name of the move in Move Slot from the Pokémon at Party Position in String Buffer 
0190,strength_flag_action,Strength,"Command format depends on the first parameter:
u8: 0
u8: 1
u8: 2; Var: Variable","Function depends on the first parameter: 0: Disables Strength so player can no longer move boulders 1: Allows the player to automatically move Strength boulders 2: Checks if Strength is activated, store answer in Variable "
0191,flash_action,Flash,"Command format depends on the first parameter:
 u8: 0
 u8: 1
 u8: 2; Var: Variable","Function depends on the first parameter: 0: Clears the Flash system flag 1: Sets the Flash system flag 2: Checks if Flash is activated, store answer in Variable "
0192,defog_action,DefogAction,"Command format depends on the first parameter:
 u8: 0
 u8: 1
 u8: 2; Var: Variable","Function depends on the first parameter: 0: Clears the Defog system flag 1: Sets the Defog system flag 2: Checks if Defog is activated, store answer in Variable "
0193,scrcmd_403,GiveAccessory,,
0194,scrcmd_404,CheckGivenAccessory,,
0195,scrcmd_405,CheckAccessory,,
0196,scrcmd_406,GiveDressupBackground,Flex: Background,
0197,scrcmd_407,CheckBGAccessory,,
0198,scrcmd_408,CMD_408,,
0199,scrcmd_409,CMD_409,,
019A,scrcmd_410,CMD_410,,
019B,scrcmd_411,CMD_411,,
019C,scrcmd_412,CMD_412,,
019D,scrcmd_413,CMD_413,,
019E,scrcmd_414,CMD_414,,
019F,scrcmd_415,CMD_415,,
01A0,scrcmd_416,CMD_416,,
01A1,scrcmd_417,CMD_417,,
01A2,scrcmd_418,CMD_418,,
01A3,scrcmd_419,CMD_419,,
01A4,scrcmd_420,CMD_420,,
01A5,scrcmd_421,CMD_421,,
01A6,scrcmd_422,CMD_422,,
01A7,check_johto_dex_complete,CheckCompleteJohtoDex,Var: Variable,"Stores 1 in Variable if every Pokémon in the Johto Pokédex has been seen, stores 0 otherwise "
01A8,check_national_dex_complete,CheckCompleteNationalDex,Var: Variable,"Stores 1 in Variable if every Pokémon in the National Pokédex has been caught, stores 0 otherwise "
01A9,show_certificate,OpenPokedexScreen,,
01AA,kenya_check,CheckPokemonMail,,
01AB,scrcmd_427,CMD_427,,
01AC,mon_give_mail,TakePokemonMail,,
01AD,countfossils,GetFossilCount,Var: Variable,Stores in Variable the current amount of fossils in the bag 
01AE,set_phone_call,PreparePokeGearCall,Var: Caller ID; Var: ???; Var: ??? *,
01AF,run_phone_call,StartPokeGearCall,,Starts the PokéGear phone call that was previously set. 
01B0,getfossilpokemon,GetPokeNameFromFossil,Var: Variable; Flex: Item ID,Stores in Variable the ID of the Pokémon to which Item ID fossil belongs 
01B1,getfossilminimumamount,CheckFossil,Var: Position; Var: Item ID; Flex: Amount,"Stores in Item ID the ID of the first fossil item in the bag that the player has at least Amount quantity of, and stores in Position the amount of fossils in the bag before the first fossil that met the quantity condition "
01B2,party_count_mons_at_or_below_level,CountPokemonUnderLevel,Var: Variable; Flex: Level,Stores in Variable the amount of Pokémon in party whose level is equal or lower than Level 
01B3,survive_poisoning,SurvivePoison,Var: Variable; Flex: Party Position,"If Pokémon at Party Position is poisoned and at 1 HP, it cures the poison and stores 1 in Variable, otherwise it stores 0 "
01B4,scrcmd_436,FinishOverworldScreen,,
01B5,debugwatch,DummyGetVar,,
01B6,get_std_msg_naix,GetCommonMessageArchive,u16: Archive Number; Var: Result,"If Archive Number exists in the array, return the number of the text archive in Result; otherwise, return 0. E.g.: in Cameron the Photographer scripts, ``GetCommonMessageArchive 2 0x800C`` is used, then followed up with ``MessageFromArchive 0x800C X``; the 2 refers to the entry in the array in the Notes to the right of this box, and because number 2 is text archive 30 in the array, the command returns 30 to 0x800C. It then loads text archive 30 and displays message X when followed by the ``MessageFromArchive 0x800C X`` "
01B7,non_npc_msg_extern,CMD_439,,
01B8,msgbox_extern,MessageFromArchive,"Flex: Archive Number, Flex: Message ID",Loads Message ID in text archive Archive Number 
01B9,scrcmd_441,CMD_441,,
01BA,scrcmd_442,CMD_442,,
01BB,scrcmd_443,CMD_443,,
01BC,scrcmd_444,CMD_444,,
01BD,scrcmd_445,GetPreviousHeaderID,Var: Variable,Stores in Variable the header ID of the previous accessed map 
01BE,scrcmd_446,GetCurrentHeaderID,Var: Variable,Stores in Variable the header ID of the map the player is currently on 
01BF,safari_zone_action,SetSafariFlag,u8: Flag; u8: Mode,"If Flag is 0 safari encounters are activated, if Flag is 1 safari encounters are deactivated, being the own safari encounters if Mode is 0 or using the Safari Zone link if 1 "
01C0,scrcmd_448,BattleRoomWarp,,
01C1,scrcmd_449,ExitBattleRoom,,
01C2,scrcmd_450,GeonetScreen,,Opens the Geonet screen 
01C3,scrcmd_451,CMD_451,,
01C4,scrcmd_452,ShowPokemonPic,Flex: Pokémon; Flex: Gender,Opens a window with the picture of Pokémon with Gender gender and registers the Pokémon in the Pokédex as seen 
01C5,scrcmd_453,HidePokemonPic,,Hides the window of a Pokémon picture 
01C6,scrcmd_454,CMD_454,,
01C7,scrcmd_455,CMD_455,,
01C8,scrcmd_456,CMD_456,,
01C9,mon_get_nature,GetPokemonNature,Var: Variable; Flex: Party Position,
01CA,get_party_slot_with_nature,CheckPartyNature,Var: Variable; Flex: Nature ID,
01CB,scrcmd_459,CMD_459,,
01CC,load_phone_dat,LoadPokegearData,,
01CD,get_phone_contact_msg_ids,SetRebattleTrainerID,,
01CE,scrcmd_462,DisablePokegearRematch,Flex: Phone Contact,The Trainer will no longer seek a rematch until the criteria for rematching them is fulfilled again 
01CF,enable_mass_outbreaks,EnableMassOutbreaks,,
01D0,create_roamer,AddRoamingPokemon,u8: ID,Activates a roaming Pokémon depending on the ID 
01D1,scrcmd_465,UnionGroup,"Command format depends on the first parameter:
u16: 0; Flex: ID; Var: Variable
u16: 1; Flex: ID; Var: Variable
u16: 2; Flex: ID; Flex: String Buffer
u16: 3; Flex: ID; Flex: String Buffer
u16: 4; Var: Variable
u16: 5; Flex: ID
u16: 6
u16: 7; Var: Variable","Function depends on the first parameter: 0: Checks if group ID exists, returns answer in Variable 1: Checks if group ID is accesible, returns answer in Variable 2: Writes group ID name in String Buffer 3: Writes leader's name of Group ID in String Buffer 4: Opens keyboard, stores 1 in Variable if user cancels, 2 if group name already exists, 0 otherwise 5: Enter in group ID 6: Creates a group 7: ??? "
01D2,scrcmd_466,CheckHasLearnableMoves,Var: Variable; Flex: Party Slot,Returns 0 to Var if the Pokémon has no learnable moves in its learnset at that level. 
01D3,move_relearner_init,RememberMoveScreen,,
01D4,move_tutor_init,TeachMovesScreen,,
01D5,move_relearner_get_result,ResponseTeachMove,,
01D6,load_npc_trade,InitTrade,u8: Trade ID,Initializes Trade ID trade data 
01D7,get_offered_species,GetOfferedPokemon,Var: Variable,Stores in Variable the ID of the offered Pokémon of the current trade data 
01D8,npc_trade_get_req_species,GetRequestedPokemon,Var: Variable,Stores in Variable the ID of the requested Pokémon of the current trade data 
01D9,npc_trade_exec,TradePokemonScreen,Flex: Party Position,"Opens the trade Pokémon screen, giving the Pokémon at Party Position and receiving the offered Pokémon of the current trade data "
01DA,npc_trade_end,EndTrade,,Frees the current trade data from the memory 
01DB,scrcmd_475,DummyInternationalDex,,Nothing 
01DC,scrcmd_476,DummyDimorphismDex,,Nothing 
01DD,nat_dex_flag_action,NationalDex,"Command format depends on the first parameter:
u8: 1; Var: Unused
u8: 2; Var: Variable","Function depends on the first parameter: 1: Activates the National Pokédex mode 2: Stores 1 in Variable if player has the National Pokédex, otherwise it stores 0 "
01DE,mon_get_ribbon_count,PokemonRibbonCount,Var: Variable; Flex: Party Position,Stores in Variable the amount of ribbons that the Pokémon in Party Position has 
01DF,party_get_ribbon_count,PartyRibbonCount,Var: Variable,Stores in Variable the total amount of different ribbons in the current Pokémon party 
01E0,mon_has_ribbon,CheckRibbon,Var: Variable; Flex: Party Position; Flex: Ribbon,"Stores 1 in Variable if the Pokémon in Party Position has the Ribbon ribbon, stores 0 otherwise "
01E1,give_ribbon,GiveRibbon,Flex: Party Position; Flex: Ribbon,Gives the Ribbon ribbon to Pokémon in Party Position 
01E2,buffer_ribbon_name,TextRibbon,u8: String Buffer; Flex: Ribbon,Stores the name of the Ribbon in String Buffer 
01E3,get_ev_total,CountPokemonEVs,Var: Variable; Flex: Party Position,Stores in Variable the total amount of effort values of Pokémon in Party Position 
01E4,get_weekday,GetDayOfWeek,Var: Variable,Stores in Variable the current day of the week 
01E5,scrcmd_485,ShowRulesList,Var: Variable,??? 
01E6,dummy_486,DummyGetPokemonFootprint,,Nothing 
01E7,pokecen_anim,PCHealAnimation,Flex: PokéBalls,Triggers the Pokémon Center healing animation with PokéBalls number of player's Pokémon 
01E8,elevator_anim,ElevatorAnimation,Flex: Direction; Flex: Count,Triggers the animation of building #208 down (if Direction is 0) or up (if Direction is 1) Count consecutive times 
01E9,mystery_gift,MysteryGiftGive,"Command format depends on the first parameter:
u16: 0
u16: 1; Var: Variable
u16: 2; Var: Variable
u16: 3; Var: Variable
u16: 4
u16: 5; Var: Text File; Var: Text Line
u16: 6; Var: Text File; Var: Text Line
u16: 7
u16: 8","Function depends on the first parameter: 0: Initializes the data for receiving a Mystery Gift 1: Checks if there is a Mystery Gift, stores answer in Variable 2: Stores the Mystery Gift ID in Variable 3: Checks if player can receive the Mystery Gift, stores answer in Variable 4: Gives the Mystery Gift to the player 5: Shows the succeed text at Text File file and Text Line slot 6: Shows the unable text at Text File file and Text Line slot 7: Ends the Mystery Gift process 8: Saves data and ends the Mystery Gift process "
01EA,nop_var_490,CMD_490,,
01EB,scrcmd_491,CMD_491,,
01EC,scrcmd_492,CMD_492,,
01ED,prompt_easy_chat,EasyChat,Var: Result; Var: Option 1; Var: Option 2,Opens up the Easy Chat UI. Returns 0 if Cancel is selected 
01EE,scrcmd_494,CMD_494,,
01EF,get_game_version,CheckVersion,Var: Variable,"Returns 0x7 to Variable if game is HeartGold, 0x8 if SoulSilver "
01F0,get_party_lead,FirstPokemonInParty,Var: Variable,Stores in Variable the slot of the first Pokémon in the party that is not an egg 
01F1,get_mon_types,GetPartyPokemonTypes,Var: Type 1; Var: Type 2; Flex: Party position,Return Type 1 and Type 2 of the Pokémon in Party Position in Variables 
01F2,primo_password_check_1,CheckPrimoPasswordWallpaper,Var: Result; Flex: Response 1; Flex: Response 2; Flex: Response 3; Flex: Response 4,"Determines if the given responses for Primo's Easy Chat will give a wallpaper. Returns 255 to Result if ??? and the following command should be used to check for Eggs, or 0 to Result if the bonus wallpapers are already unlocked. Otherwise, give a random bonus wallpaper "
01F3,primo_password_check_2,CheckPrimoPasswordEggs,Var: Result; Flex: Response 1; Flex: Response 2; Flex: Response 3; Flex: Response 4,
01F4,scrcmd_500,PreparePCAnimation,,
01F5,scrcmd_501,OpenPCAnimation,,
01F6,scrcmd_502,ClosePCAnimation,,
01F7,loto_id_get,GetLottoNumber,Var: Variable,Stores Lotto random number in Variable 
01F8,loto_id_search,CheckWinLotto,Var: MatchPos; Var: Digits; Var: PC; Flex: Winning Number,"Takes a Winning Number as input and responds as follows. If no matching Pokémon could be found or an error occurs: MatchPos: 0; Digits: 0; PC: 0. For all other cases: If the matching Pokémon is in the Player's party, PC will be assigned 0. Otherwise, if it's in the Player's Storage System, PC will be assigned 1. MatchPos stores the zero-based position of the winning Pokémon (either as Party pos or Storage System pos, depending on the value of PC). When there's a match, the Digits var is assigned the number of matching digits of the Winning Pokémon's PID. In case of multiple matches, priority is always given to the one with the most matching digits. "
01F9,loto_id_set,InitLotto,,Generates two random numbers and assigns them to two system lottery Variables. 
01FA,bufferboxmonnick,BufferBoxPokemonNick,,
01FB,count_pc_empty_space,CountPCFreeSpace,Var: Variable,Stores in Variable the amount of free Pokémon slots in PC boxes 
01FC,palpark_action,PalParkControl,,
01FD,scrcmd_509,PalParkDepositCountCheck,,
01FE,scrcmd_510,PalParkBoxPokemonCaught,,
01FF,pal_park_score_get,PalParkScoreResult,,
0200,player_movement_saving_set,PlayerMovementSavingSet,,
0201,player_movement_saving_clear,PlayerMovementSavingClear,,
0202,hall_of_fame_anim,HallOfFameAnime,,
0203,add_special_game_stat,AddTrainerScore,Flex: Score,Adds Score to the Trainer Score seen on the Trainer Card 
0204,buffer_fashion_name,TextAccessory,u8: String Buffer; Flex: Accesory,Stores Accesory's name in String Buffer 
0205,scrcmd_517,CheckPokemonInParty,Flex: Pokémon; Var: Variable,"Stores 1 in Variable if Pokémon (or its egg) is currently in the Pokémon party, stores 0 otherwise "
0206,scrcmd_518,SetDeoxysForm,Flex: Form,Sets every Deoxys in the Pokémon party the Form form 
0207,scrcmd_519,CheckBurmyForms,Var: Variable,Stores in Variable the number of current different Burmy forms in the Pokémon party 
0208,scrcmd_520,CMD_520,,??? 
0209,scrcmd_521,CMD_521,,??? 
020A,scrcmd_522,GetHour,Var: Variable,Stores current hour from RTC in Variable 
020B,scrcmd_523,ShakeOverworld,Flex: Event ID; Flex: Count; Flex: Time; Flex: X; Flex: Y,"Makes Event ID overworld shake Count times in Time frames, moving X horizontally and Y vertically each shake "
020C,scrcmd_524,BlinkOverworld,Flex: ???; Flex: ???; Flex: ???; Flex: ???; Flex: ???,??? 
020D,scrcmd_525,CheckRegis,Var: Variable,"Stores 1 in Variable if player has the 3 Regis in the party, stores 0 otherwise "
020E,scrcmd_526,CMD_526,,
020F,scrcmd_527,MessageUnown,u16: Text Slot,Display line Text Slot from the text file with the Unown font 
0210,scrcmd_528,CheckGBACartidge,Var: Variable,Stores the current GBA cartridge ID in Variable 
0211,get_party_lead_alive,GetFirstAlivePokemonSlot,Var: Variable,Stores in Variable the slot of the first Pokémon in the party that is not an egg nor is fainted 
0212,scrcmd_530,SetMatrixAlternativeMap,Flex: Alternative ID; u8: Status,"Permanently changes a worldmap matrix cell corresponding to Alternative ID if Status is 1, reverts the change if 0 "
0213,buffer_background_name,TextBackgroundName,,
0214,check_coins_immediate,HasCoinsImmediate,Var: Result; u32: Coins,"Stores 1 in Result if player has at least Coins coins, stores 0 otherwise "
0215,CheckGiveCoins,CanGiveCoins,Var: Result; Flex: Coins,"Stores 1 in Result if player can receive Coins coins (i.e. it won't exceed the cap), stores 0 otherwise "
0216,scrcmd_534,CheckVar4041,Var: Result,"Stores 1 in Result if Var 0x4041 is set to 1, stores 0 otherwise "
0217,mon_get_level,GetPokemonLevel,Var: Result; Flex: Party Slot,Stores into Result the level of the Pokémon at a given Party Slot. 
0218,scrcmd_536,CMD_536,,
0219,scrcmd_537,CMD_537,,
021A,scrcmd_538,CMD_538,,
021B,scrcmd_539,CMD_539,,
021C,scrcmd_540,CMD_540,,
021D,buffer_int_ex,TextNumberSp,u8: String Buffer; Flex: Number; u8: Alignment Type; u8: Digits,Stores a Number in String Buffer with Alignment Type alignment and Digits length 
021E,mon_get_contest_value,MonGetContestValue,,
021F,scrcmd_543,CheckBirthday,Var: Variable,"Stores 1 in Variable if the current day is the player's birthday, stores 0 otherwise "
0220,scrcmd_544,MusicVolumeSet,Flex: Music ID; Flex: Volume,Identifies the BGM Player which is playing Music ID and sets its Volume 
0221,scrcmd_545,CountSeenUnown,Var: Variable,Stores in Variable the number of different seen Unown forms 
0222,scrcmd_546,CMD_546,,
0223,scrcmd_547,CMD_547,,
0224,scrcmd_548,CMD_548,,
0225,scrcmd_549,CMD_549,,
0226,scrcmd_550,CountHallOfFameEntries,,
0227,scrcmd_551,CMD_551,,
0228,scrcmd_552,CMD_552,,
0229,scrcmd_553,CMD_553,,
022A,scrcmd_554,CMD_554,,
022B,scrcmd_555,CMD_555,,
022C,scrcmd_556,TakeBP,u16: BP Amount,Takes BP 
022D,check_battle_points,CheckBP,u16: BP Amount; Var: Result,Returns 0 in Result if you do not have enough battle points 
022E,scrcmd_558,CheckUnionRoomTrainerSprite,Flex: Choice; Var: Variable,Returns the Trainer sprite corresponding to the Trainer class selection for the Union Room to Variable depending on the Choice. 
022F,scrcmd_559,CMD_559,,
0230,scrcmd_560,HiddenMachineEffect,u16: Effect; Var: Variable,Begins the Hidden Machine effect. Variable is set to 1 when the effect is complete. 
0231,screen_shake,ShakeCamera,Flex: X Magnitude; Flex: Y Magnitude; Flex: Count; Flex: Time,"Shakes the screen vertically and/or horizontally, moving the camera X Magnitude pixels horizontally and Y Magnitude pixels vertically in each shake, with Count total shakes of Time frames each one "
0232,multi_battle,Battle2vs2,Flex: Partner Trainer ID; Flex: Trainer 1 ID; Flex: Trainer 2 ID; u8: ???,Starts a double battle with Partner Trainer ID versus Trainer 1 ID and Trainer 2 ID 
0233,scrcmd_563,CMD_563,,
0234,scrcmd_564,CMD_564,,
0235,scrcmd_565,CMD_565,Var: ???,??? 
0236,scrcmd_566,PartyPokemonTradeScreen,,Opens the party Pokémon screen for a trade 
0237,getdpplprizeitemidandcost,GetDPPtPrizeItemIdAndCost,,
0238,scrcmd_568,CMD_568,,
0239,scrcmd_569,CMD_569,,
023A,check_coins_var,HasCoinsVar,Var: Result; Var: Coin Amount,
023B,scrcmd_571,CMD_571,,
023C,get_unique_seals_quantity,GetUniqueSealsQuantity,,
023D,scrcmd_573,DummyActivateMysteryGift,,
023E,scrcmd_574,GetOWMovement,Var: Result; Flex: Overworld ID,Returns Overworld ID's movement ID to Result 
023F,scrcmd_575,CMD_575,,
0240,scrcmd_576,CMD_576,,
0241,scrcmd_577,CMD_577,,
0242,scrcmd_578,CMD_578,,
0243,scrcmd_579,CMD_579,,
0244,buffer_seal_name,TextSealSingular,u8: String Buffer; Flex: Seal ID,Stores Seal's singular noun in String Buffer 
